Unnamed: 0,story,question,q_type,reasoning_type,choices,answer,model_answer
315,"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small yellow circle that is near and to the left of a medium blue triangle. Touching the top of the triangle is a large yellow square. In B, there is a large blue circle near and below a small blue square. There is a large black triangle far to the right of the small blue square. In C, there is a small blue triangle that is far below a medium black triangle. The black triangle was near and below a medium blue triangle.",What is the relation between the large yellow thing and the medium black thing?,FR,"['Lists/Sets', ' Transitivity']","['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['left', 'far from']",['left']
82,"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",What is the relation between the small black thing and the large black thing?,FR,"['List/Sets', ' Transitivity']","['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['right', 'far from']",['far from']
220,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a medium blue circle. There is also a large black square near and below the medium blue circle. In B, there is a medium yellow triangle near and to the left of a small blue triangle. The small blue triangle is above a medium blue triangle. The medium blue triangle is to the right of the medium yellow triangle and above a large black circle. In C, there is a medium black triangle that is near and to the left of a large blue triangle. There is a large black square near and to the right of large blue triangle.",Are there any triangles in B?,YN,['Quantifier'],"['Yes', 'No', 'DK']",['Yes'],['Yes']
205,"There are three blocks called A, B, and C. A is to the left of B Which is to the left of C. In A, there is a large black triangle near and above a large black square. To the right of the black triangle is a large blue triangle. In B, there is a medium yellow square near and below a small blue circle. In C, there is a small blue square far above a small yellow square. There is a small blue circle to the right of the small yellow square. There is a medium yellow circle near and to the right of the small blue circle. There is also a medium blue circle below the medium yellow circle.",What is the relation between the small yellow thing and the small blue square in C?,FR,"['Symmetry', ' Converse']","['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['below', 'far from']",['below']
332,"There are three blocks called A, B, and C. A is to the left of B, and B is to the left of C. In A, there is a large blue triangle to the left of and below a large black square. Far above the square is a large black circle. In B, there is a large blue circle near and below a small blue circle. The small blue circle is near and below a large yellow square. There is a medium blue square far to the left of the yellow square. In C, there is a large blue square.",What block does not have a circle inside of it?,FB,"['Negation', ' Quantifier']","['A', 'B', 'C']",['C'],['C']
2,"There is a block called A. In A there is a red triangle Which is above a black circle. The black circle is touching the bottom of A. A yellow square is touching the top edge of A and below that there is a red oval is touching the right edge of A. There is a second block call B Which is to the left of A. Inside B there are 3 squares, a brown one, a green one, and a red one. The green square is above the red square and touching the left edge of B. The brown square is touching both the bottom edge and the right edge of B. The red square is touching the left edge of the brown square.",Are all of the squares in B?,YN,['Quantifier'],"['Yes', 'No', 'DK']",['No'],['Yes']
167,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",What object is to the right of the large black square the medium blue triangle  or  the small black triangle?,CO,['Lists/Sets'],"[' the medium blue triangle ', ' the small black triangle', 'both of them', 'none of them']",[' the medium blue triangle '],['none of them']
38,"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",What object is near the large thing? the white square or  the orange rectangle ?,CO,['Symmetry'],"[' the white square', ' the orange rectangle ', 'both of them', 'none of them']",[' the white square'],[' the white square']
224,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a medium blue circle. There is also a large black square near and below the medium blue circle. In B, there is a medium yellow triangle near and to the left of a small blue triangle. The small blue triangle is above a medium blue triangle. The medium blue triangle is to the right of the medium yellow triangle and above a large black circle. In C, there is a medium black triangle that is near and to the left of a large blue triangle. There is a large black square near and to the right of large blue triangle.",What is the relation between the large black thing in C and the medium black thing in C?,FR,"['Transitivity', ' Converse']","['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['right', 'near to']",['right']
163,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",What block has all of the black objects inside of it?,FB,['Quantifier'],"['A', 'B', 'C']",['B'],['B']
55,"There is a block named A. In A, there is a pink triangle that touches the bottom of A. There is also a white triangle that touches the left edge of A, a red triangle that touches the top of A, and a green triangle that touches the right edge of A. Below A there is a block called B. In B, there is a small square, a large square, and a yellow circle. The large square is to the right of and near the yellow circle. The yellow circe is to the right of and above the small square. Below B there is a blocked named C. In C, there is a brown oval that is on top of a blue rectangle.",Is the red object below the blue object?,YN,['Lists/Sets'],"['Yes', 'No', 'DK']",['No'],['No']
