q_id,q_type,q_query,story,question,answer,choices,reasoning_steps,num_facts,asked_relation,target_relation,model_answer
2,YN,1x0 0x0,"A medium purple hexagon is inside and touching a block called HHH. A block named LLL exists in the image. A medium purple hexagon is inside block LLL. Block LLL covers another medium purple hexagon. This block is in another block called KKK with a medium purple hexagon. South of, disconnected from and east of block KKK is block HHH.",Is medium purple hexagon number two to the west of all objects?,No,Yes No,6,4,left,left,No
7,FR,0x3 0x1,There exists one block called HHH. A medium grey hexagon is inside block HHH. Block HHH have a medium red hexagon and another medium grey hexagon. This block covers another medium red hexagon. Above medium red hexagon number two there is medium grey hexagon number one. Medium grey hexagon number two and medium red hexagon number one are over this object.Medium grey hexagon number two touches medium red hexagon number one.Medium red hexagon number two touches medium grey hexagon number one. Below medium grey hexagon number two is medium red hexagon number one. Medium grey hexagon number one touches this thing.,Where is medium grey hexagon number two relative to medium grey hexagon number one?,ABOVE,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,2,above,above,above
0,YN,0x1 0x0,"Two boxes, named one and two exist in the image. Box one covers a medium orange apple. Another medium orange apple is in this box. Medium orange apple number one touches this fruit. In box two there is box one. Box two contain two medium orange apples. This box covers a medium green apple. Medium orange apple number two are to the north of the medium green apple and medium orange apple number one.",Do all medium orange apples touch any orange fruit?,No,Yes No,1,1,ec,ec,No
1,YN,2x0 2,"Three boxes, named one, two and three exist. A medium yellow apple is covered by box one. Box one has another medium yellow apple. To the south of medium yellow apple number two there is medium yellow apple number one. Inside and touching box two there is box three. A medium orange apple is within this box. Box three covers a medium yellow apple. To the north of the medium yellow apple is the medium orange apple.",Is a medium yellow apple inside and touching box three?,Yes,Yes No,1,1,tpp,tpp,Yes
6,FR,1x1 0x0,A box called one covers a medium orange apple. Over and to the left-hand side of this box is another box called two. Box one is disconnected from this box. A medium orange apple is in box two. Box two covers a medium green apple. Another box called three is inside and touching this box. A medium green apple touches a yellow apple. The medium green apple is inside box three. Box three covers the yellow fruit.,Where is the medium orange apple in box two relative to the medium orange apple covered by box one?,LEFT ABOVE DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,3,left,left,above
2,YN,1x3 1x2,"Two boxes, named one and two exist. Box one covers box two. A yellow melon is covered by box one. Box two have two big green melons. Big green melon number two is to the south of big green melon number one and is north of a medium orange apple. The medium thing is covered by box two. Box two covers a big green apple. The big green apple is to the south of big green melon number two and is east of big green melon number one. To the east of the orange fruit is big green melon number one.",Is any medium orange apple west of big green melon number two?,No,Yes No,1,1,left,below,No
5,FR,0 1x0,A block named HHH covers a medium purple hexagon. Two medium red hexagons are within this block. Medium red hexagon number one is north of the medium purple hexagon. To the south of and touches medium red hexagon number two is this thing. In block HHH is another block named LLL. This block covers a medium red hexagon which is south of a medium purple hexagon. The medium purple hexagon is in block LLL.,Where is block HHH relative to the medium red hexagon covered by LLL?,NTPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,2,ntppi,ntppi,above
2,YN,0x3 0x0,There exists one block named AAA. A small black square and a big blue square are in block AAA. A big black square is inside and touching block AAA. Block AAA covers a big yellow square. The blue object is above the big black square. Under and close to the small object is this object. Below this object is the big yellow square. The big black square is in front of this thing.,Is any shape close to the blue thing?,Yes,Yes No,1,1,near,near,Yes
5,FR,0 0x1,One block named HHH exists in the image. A medium red hexagon is inside and another medium red hexagon is inside and touching block HHH. Medium red hexagon number two is below medium red hexagon number one. Medium red hexagon number one is below and touches a medium grey hexagon. Block HHH contains the medium grey hexagon.,Where is block relative to medium red hexagon number one?,NTPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ntppi,ntppi,below
0,YN,1 1x0,A box called DDD covers a midsize white rectangle. Within this box is another box named EEE. A midsize orange rectangle is inside and touching and another midsize orange rectangle is within this box. Midsize orange rectangle number one touches midsize orange rectangle number two. Midsize orange rectangle number two is to the north of this thing.,Do all boxes cover midsize orange rectangle number one?,No,Yes No,1,1,tppi,tppi,No
