Story,Question,Q_type,Candidate_Answers,Answer,Reasoning_type,llama8B_Base,lamma8B_CoT,llama8B_Visual
"There is a block called A. In A, there is a medium yellow triangle near and above a large yellow triangle. The large yellow triangle is near and to the left of a large black triangle. There is a block called B, which is to the right of A. In B, there is a small yellow circle far above a large black triangle. The large black triangle is near and above a medium yellow triangle. There is a small blue triangle far to the right of the large black triangle. There is a block called C, which is to the right of B. In C, there is a medium black circle near and to the left of a medium blue square. The blue square is near and to the left of a large black square.",Is the medium blue thing below a medium black thing?,YN,"Yes, No, DK",DK,['No Data'],No,No,Yes
There is a block. We called it A. It has four medium squares. Two of them are yellow and two of them are blue. one of the blue square is touching the bottom edge of this block. The other bue square is on it. Then the yellow squares are on the second blue square. we have another block called B. block A is on this block. block B has two black square up on each other.,Is there any square below all other squares?,YN,"Yes, No, DK",Yes,"['Lists/Sets', ' Transitivity']",Yes,Yes,Yes
"There are three blocks called A, B and C. A is to the left of B and B is to the left of C. In A, there is a small blue circle. In B, there is a large blue triangle that is touching the top of a small yellow triangle. In C, there are four circles, a large yellow one, a small blue one, a small black one, and a large black one. The large yellow circle is touching the large black circle and is above and near the small blue circle. The small black circle is near and to the right of the small blue circle. The large black circle is above and near the small black circle.",What object is near the large yellow thing? the small blue circle  or  the small yellow triangle?,CO," the small blue circle ,  the small yellow triangle, both of them, none of them", the small blue circle ,['Symmetry'],the small blue circle,the small blue circle,the small blue circle
"There are three blue shapes in a block that we called A. Two medium blue squares are below a big blue square. First medium blue square is to the left of the other medium one which is touching the bottom edge of block A. There is another block below the block A we call it B. A big blue triangle is touching the top edge of this block which is above a small black triangle, a big blue circle and a medium blue triangle. The medium triangle is touching the bottom edge of the block. The circle is below and to the left of the small triangle. It is above the medium triangle.",Is the big square above all black objects?,YN,"Yes, No, DK",Yes,"['lists/set', ' converse']",No,No,Yes
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large blue triangle that is near and below a medium black triangle. There is also a large black triangle that is near and below the large blue triangle. In B, there are two medium blue circles that are to the left of a medium black circle. The black circle is near and above a large blue circle. In C, there is a large yellow circle that is near and to the left of a small black triangle. There is also a large blue triangle near and to the right of the small black triangle.",What object is to the right of the medium blue things in B? the medium black circle  or  the large yellow circle ?,CO," the medium black circle ,  the large yellow circle , both of them, none of them",both of them,"['Converse', ' Lists/Sets']",the medium black circle,the medium black circle,the medium black circle
"I see three blocks. The first block is (A) has two big and medium green triangles. The medium one is above the big one. Below and to the left of these two triangles, there is a midsize green circle. below the first block the other blocks exist, block B and C. Block C is to the right of the block B. Block B has medium white rectangle and circle to the right of a medium green triangle. The rectangle is above the circle. Block C has a huge red rectangle touching bottom and right edge, a little white circle touching the top edge and a midsize red circle touching the left edge of the block.",Is the red circle above the huge rectangle?,YN,"Yes, No, DK",Yes,,No,No,No
"We have three blocks A, B, and C. Block B is to the right of block A and C and also is above block C. Block A is above block C. Block A has a big blue square above a big blue triangle. Block B has a big black circle to the left of a medium black triangle which is above and to the left of a medium yellow square. Block C has a medium yellow circle touching the top edge of the block and a big black circle touvhing the bottom edge of the block. Above the big circle there is a medium blue triangle which is below and to the left of a big blue triangle.",What is to the right of a big blue triangle? a blue square  or  a blue triangle?,CO," a blue square ,  a blue triangle, both of them, none of them",none of them,,a blue triangle,a blue triangle,a blue square
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a large yellow square near and below a small yellow square. The small yellow square is far to the left and below a large blue triangle. In B, there is a medium blue circle far to the left and above a small black circle. The small black circle is near to the left of a large blue circle.  In C, there is a large yellow square near and to the left of a large black circle. The black circle is near and to the left of a large blue triangle.",Does A have any circles inside of it?,YN,"Yes, No, DK",No,['Quantifier'],No,No,No
"There are three blocks named A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small blue square Which is touching the right edge of A. A large blue square is to the left of the small square and is touching the bottom of A. In B, there is a small black triangle that is above and to the right of a black square. The black square is touching the bottom of B. In C, there is a small yellow square that is touching the right of C. There is also large yellow square that is below a blue triangle and above a small blue circle. To the left of the blue triangle there is a black circle.",What block does not have any black objects inside?,FB,"A, B, C",A,"['Negation', ' Quantifier']",A,A,A
"There are three blocks A, B and C. A blue triangle is touching the right edge of block A. Block B has four objects. There is a medium black square at the top of this block. There is a big blue square at the top of this block and near to the medium square. Two big black circles are below these objects. one of the circles is touching the bottom edge of its block. block C is above A and block B is above it. Three medium blue triangles and two squares are in this block. the squares are below all triangles. two of the triangles and one of the squares are to the left of the  other square.",Which block has a square to the right of another square?,FB,"A, B, C",C,"['Lists/Sets', ' Converse']",DK,DK,None
