ID,Story,Question,Label,ollama/openchat,ollama/mistral
0,U is to the bottom right of A. A is south west of F. K is to the upper left of F. I is positioned left to T. U is above and to the left of I.,What is the relation of the agent U to the agent A?,lower-right,below,upper-left
1,R is on the right side and below M. V is on the lower left of D. R is sitting at the 3:00 position to P. D is diagonally to the bottom right of M. V is on the top of I and is on the same vertical plane.,What is the relation of the agent D to the agent V?,upper-right,upper-right,lower-right
2,L and U are side by side with L to the left and U to the right. U is placed in the right direction of M. C is diagonally to the bottom right of L. G is directly below C. G and S are side by side with G to the right and S to the left.,What is the relation of the agent U to the agent C?,above,above,above
3,Y is on the right side and top of D. J is sitting at the lower right position to V. V is placed at the upper left of D. Z is at Y's 12 o'clock. X and J are in a vertical line with J below X.,What is the relation of the agent Z to the agent V?,upper-right,above,above
4,E and B are next to each other with B on the right and E on the left. The object E and T are there. The object E is below and slightly to the right of the object T. G is to the right of F and is on the same horizontal plane. B is to the bottom-left of G. X is placed at the lower right of F.,What is the relation of the agent G to the agent F?,right,above,left
5,Z is at T's 6 o'clock. G and A are both there with the object A below the object G. D is over there and Z is on the right of it. V is to the bottom left of T. The objects A and V are over there. The object A is lower and slightly to the left of the object V.,What is the relation of the agent G to the agent D?,left,above,above
6,E and Z are side by side with E to the right and Z to the left. B and C are in a vertical line with B on top. Y is above E at 2 o'clock. Z is sitting in the left direction of N. C is to the bottom-left of N.,What is the relation of the agent N to the agent C?,upper-right,upper-right,lower-left
7,C and G are in a horizontal line with C on the left. The object E is lower and slightly to the left of the object R. The object J is upper and slightly to the left of the object R. C presents upper right to T. J is to the top-right of G.,What is the relation of the agent T to the agent G?,lower-left,above,upper-left
8,M and I are next to each other with I on the right and M on the left. S is on the left side to T. S is placed at the lower left of I. D is below and to the left of M. Q is diagonally above D to the right at a 45 degree.,What is the relation of the agent S to the agent M?,below,upper-left,lower-left
9,"Z is positioned up and to the right of V. C is positioned left to M. O and Z are next to each other with O on the left and Z on the right. C and W are parallel, and C is over W. Object O is below object W and to the left of it, too.",What is the relation of the agent M to the agent V?,upper-right,above,above
10,"G is sitting at the upper right position to C. M and C are parallel, and M is to the right of C. S is directly south west of M. W is placed in the left direction of G. W is over there and E is on the right.",What is the relation of the agent W to the agent M?,upper-right,below,lower-left
11,"Y is at the 6 o'clock position relative to S. Q and Y are side by side with Y at the bottom and Q on the top. The object S is positioned above and to the right of the object M. M is sitting at the upper right position to G. If G is the center of a clock face, P is located between 10 and 11.",What is the relation of the agent S to the agent G?,upper-right,upper-right,upper-right
12,"E is sitting at the upper right position to C. S is diagonally below C to the left at a 45 degree angle. If O is the center of a clock face, U is located between 4 and 5. T is over there and O is directly below it. T and S are next to each other with S at the bottom T on the top.",What is the relation of the agent C to the agent U?,above,upper-right,above
13,"S and U are next to each other with S on the top and U at the bottom. O is positioned up and to the right of W. If G is the center of a clock face, U is located between 10 and 11. The object G is upper and slightly to the right of the object W. Object S is above object M and to the left of it, too.",What is the relation of the agent G to the agent S?,lower-right,upper-right,upper-right
14,"V and R are parallel, and R is below V. U and R are next to each other with U on the left and R on the right. U is at L's 3 o'clock. I and V are horizontal and I is to the left of V. Y is to the left of I.",What is the relation of the agent V to the agent U?,upper-right,above,below
15,"L is sitting at the 6:00 position to G. I is at a 45 degree angle to L, in the upper lefthand corner. Z is to the left of M with a small gap between them. R is to the bottom-left of I. Z and R are horizontal and Z is to the right of R.",What is the relation of the agent L to the agent G?,below,below,below
16,J is slightly off center to the top left and S is slightly off center to the bottom right. W is positioned right to X. Z is diagonally to the bottom right of R. J is below and to the right of Z. R is on the right side and top of X.,What is the relation of the agent W to the agent R?,below,right,upper-left
17,B is to the left of M and is on the same horizontal plane. Q is directly north west of B. M and U are side by side with U at the bottom and M on the top. I is over there and A is directly below it. U is at the 3 o'clock position relative to A.,What is the relation of the agent I to the agent Q?,lower-right,above,upper-left
18,B is positioned left to Z. F is below S and to the left of S. H and Z are in a vertical line with Z below H. B is sitting in the right direction of V. S is positioned in the front right corner of V.,What is the relation of the agent B to the agent F?,right,left,left
19,W is to the right of K with a small gap between them. I is lower left to N. W is diagonally below H to the left at a 45 degree angle. N is placed at the lower left of X. The object H is upper and slightly to the right of the object X.,What is the relation of the agent X to the agent I?,upper-right,above,lower-left
20,Z is to the right of M with a small gap between them. The object P and R are there. The object P is below and slightly to the right of the object R. M is directly above R. B is on the lower left of Z. P is at the bottom of H.,What is the relation of the agent H to the agent Z?,below,upper-left,upper-right
21,"Y is diagonally to the bottom left of R. The object G is upper and slightly to the left of the object B. M and Y are parallel, and M is to the left of Y. G is at the bottom of J vertically. R and B are parallel, and R on the left of B.",What is the relation of the agent G to the agent M?,upper-right,upper-left,upper-left
22,"Object R is above object U and to the right of it, too. G is diagonally to the upper left of B. X is at the lower side of B. D is at R__ 9 o'clock. G is positioned below U.",What is the relation of the agent B to the agent D?,lower-right,above,lower-left
23,V presents lower right to B. X is over there with O below. W is above B at 2 o'clock. V and H are vertical and V is above H. O is positioned below and to the right of W.,What is the relation of the agent H to the agent X?,lower-left,upper-left,lower-left
24,H is to the right and above Y at an angle of about 45 degrees. M is diagonally above J to the right at a 45 degree. Y is on top of X. The object R is upper and slightly to the left of the object J. X and R are side by side with X on the top and R at the bottom.,What is the relation of the agent J to the agent Y?,lower-right,above,above
25,L is directly south west of N. Q is over there and O is on the top of it. L is under F. N and H are horizontal and N is to the right of H. O is upper left of H.,What is the relation of the agent O to the agent Q?,above,above,above
26,"K and C are vertical and K is below C. If K is the center of a clock face, B is located between 10 and 11. W is directly north west of O. Z is positioned above O and to the right. W is there and B is at the 2 position of a clock face.",What is the relation of the agent C to the agent B?,right,upper-right,upper-left
27,U is to the left of Y horizontally. L is below and to the right of J. Y is placed on the top of S. G and L are in a horizontal line with G on the left. U is on the left side and above J.,What is the relation of the agent G to the agent U?,lower-right,right,above
28,P presents over T. E presents below S. G is over D. E is positioned in the lower right corner of P. T is positioned up and to the right of G.,What is the relation of the agent G to the agent S?,lower-left,above,above
29,S is diagonally right and above U. Q is at D's 3 o'clock. D is sitting at the top position to V. V and S are horizontal and V is to the left of S. U and F are side by side with F at the bottom and U on the top.,What is the relation of the agent D to the agent S?,upper-left,above,above
30,The object R is upper and slightly to the right of the object M. Q is diagonally above R to the left at a 45 degree angle. X is diagonally to the upper right of Q. Z is placed at the upper right of X. The object A is positioned below and to the right of the object M.,What is the relation of the agent R to the agent A?,above,above,above
31,The object V is lower and slightly to the left of the object W. U is to the right of V with a small gap between them. Y is to the left of W and below W at approximately a 45 degree angle. Y is below N at 4 o'clock. U is sitting in the left direction of H.,What is the relation of the agent N to the agent W?,left,upper-right,above
32,"If E is the center of a clock face, H is located between 4 and 5. E is diagonally right and above C. O is on top of Y. N is above C at 2 o'clock. H is to the upper left of O.",What is the relation of the agent C to the agent E?,lower-left,upper-right,diagonal-right
33,"If W is the center of a clock face, E is located between 2 and 3. T is on the left side of and below W. S is below T at 7 o'clock. J is at the 12 o'clock position relative to E. D is on the left and S is on the right.",What is the relation of the agent W to the agent J?,lower-left,upper-right,upper-left
34,"Y is at a 45 degree angle to E, in the upper righthand corner. The object V is positioned directly above the object C. O is diagonally right and below T. O is over there with C above. T is lower left to Y.",What is the relation of the agent T to the agent Y?,lower-left,upper-left,lower-left
35,Q is to the bottom right of B. N is positioned below L. L is over Q. T is sitting at the lower position to C. T is at the bottom of B vertically.,What is the relation of the agent N to the agent T?,right,above,lower-left
36,"V is to the right and above N at an angle of about 45 degrees. N is placed in the right direction of I. V is north east of F. R and I are parallel, and I is below R. F is on the upper right of X.",What is the relation of the agent V to the agent N?,upper-left,upper-right,above
37,V is directly north east of M. C and S are side by side with S at the bottom and C on the top. M is to the top of K vertically. K and E are in a horizontal line with E on the right. V is to the left of S with a small gap between them.,What is the relation of the agent E to the agent S?,lower-left,right,above
38,"O is at a 45 degree angle to S, in the lower lefthand corner. D is on the lower right of V. A is to the right of P horizontally. S is lower right of D. V is to the top-left of P.",What is the relation of the agent S to the agent A?,below,upper-right,lower-right
39,"Y is directly above L. L is on the same vertical plane directly above N. Object I is above object R and to the right of it, too. I and Y are in a vertical line with I on top. R is diagonally to the upper left of Q.",What is the relation of the agent R to the agent Q?,upper-left,upper-left,upper-left
40,L and M are side by side with L to the right and M to the left. E and Q are vertical and E is below Q. V is sitting at the lower right position to M. Q is below and to the left of L. R is diagonally to the bottom left of V.,What is the relation of the agent M to the agent R?,above,upper-left,lower-left
41,"F and D are next to each other with D on the right and F on the left. M is on the right and A is on the left. L and D are parallel, and L is on top of D. The object B is positioned directly below the object F. B is at the 12 o'clock position relative to M.",What is the relation of the agent B to the agent F?,below,below,below
42,Y and O are side by side with Y to the right and O to the left. S and Y are in a vertical line with S on top. Z is on the top of S and is on the same vertical plane. W is over there and Z is on the right. E and O are side by side with E to the right and O to the left.,What is the relation of the agent Z to the agent E?,above,upper-right,upper-right
43,"Y is on the right side and below V. T and A are in a vertical line with T on top. V is positioned right to O. Object F is above object Y and to the left of it, too. A is directly above F.",What is the relation of the agent V to the agent F?,overlap,upper-right,upper-left
44,H is to the bottom right of R. A is diagonally to the upper left of S. S and R are horizontal and S is to the left of R. The object F is lower and slightly to the left of the object P. A is there and F is at the 10 position of a clock face.,What is the relation of the agent H to the agent R?,lower-right,right,below-right
45,H is at A__ 9 o'clock. B is to the bottom-left of H. K is above Q. K is at the bottom of B and is on the same vertical plane. Q is positioned left to J.,What is the relation of the agent Q to the agent K?,below,below,below
46,G is to the right of O horizontally. Y is at the bottom of V and is on the same vertical plane. C is to the bottom-right of G. C is on the left side of and below V. O is on the top and Z is at the bottom.,What is the relation of the agent G to the agent C?,upper-left,right,lower-left
47,"J is sitting at the 6:00 position to D. M is at a 45 degree angle to K, in the upper righthand corner. M is directly south west of U. D and K are side by side with D on the top and K at the bottom. U is upper right to R.",What is the relation of the agent K to the agent J?,overlap,below,below
48,N is over there and Z is at the bottom of it. W is at the 9 o'clock position relative to Z. G is positioned up and to the right of N. W is to the upper left of S. A is on the top of G and is on the same vertical plane.,What is the relation of the agent S to the agent A?,lower-left,above,above
49,"Object Q is below object O and to the right of it, too. P is on the right and R is on the left. R is diagonally to the upper left of Q. K is below L. O and K are in a horizontal line with K on the right.",What is the relation of the agent L to the agent Q?,above,above,upper-left
50,"R and N are parallel, and R is to the left of N. F presents lower right to B. M is positioned above B. O is over there and M is at the bottom of it. O is on the right side and below R.",What is the relation of the agent O to the agent F?,upper-left,upper-right,below-right
51,"Object K is above object G and to the right of it, too. G and N are both there with the object G is to the left of object N. Y is on the left side of and below Z. D is on the upper right of Z. D is diagonally to the upper left of K.",What is the relation of the agent N to the agent D?,lower-right,above,upper-left
52,The object V is positioned below and to the right of the object K. G is sitting at the 9:00 position of D. P is to the top right of U. P is directly above D. G is positioned below V and to the left.,What is the relation of the agent U to the agent D?,left,upper-right,above
53,"Q and H are parallel, and Q is to the left of H. E is sitting at the 12:00 position to H. B is positioned in the lower left corner of E. M is to the bottom left of Y. B is to the left of Y horizontally.",What is the relation of the agent Y to the agent H?,overlap,right,below
54,W and J are side by side with J at the bottom and W on the top. N is to the bottom-left of W. E is below and to the right of Z. K is diagonally left and below N. The object E and K are there. The object E is below and slightly to the right of the object K.,What is the relation of the agent K to the agent E?,upper-left,upper-left,lower-left
55,"Q is positioned below Z and to the right. J and Q are parallel, and J is under Q. C is placed at the lower left of M. Z is placed at the upper right of M. J is to the left of K horizontally.",What is the relation of the agent Q to the agent K?,upper-left,right,below-left
56,"I is sitting at the upper right position to R. M and J are parallel, and M is on top of J. M is sitting at the 9:00 position of W. The object Z is positioned directly below the object R. The object Z is positioned below and to the left of the object J.",What is the relation of the agent I to the agent R?,upper-right,above,above
57,N is over there with K below. K presents upper left to W. The object F and Q are there. The object F is below and slightly to the right of the object Q. W is on the lower left of Q. N is positioned up and to the right of T.,What is the relation of the agent F to the agent W?,right,upper-right,lower-left
58,O is positioned below and to the right of X. Y is to the right and above F at an angle of about 45 degrees. D is above X at 10 o'clock. P is to the right and above F at an angle of about 45 degrees. O presents upper right to Y.,What is the relation of the agent O to the agent D?,lower-right,upper-right,upper-left
59,"K is over there and Q is on the left of it. W is positioned below Q and to the left. W and X are parallel, and W is over X. M and I are parallel, and M on the left of I. I is to the top-right of K.",What is the relation of the agent K to the agent I?,lower-left,upper-left,above
60,"X is upper left of P. C is sitting at the top position to Z. C is to the left of W and below W at approximately a 45 degree angle. U presents right to X. W is at a 45 degree angle to U, in the upper righthand corner.",What is the relation of the agent U to the agent X?,right,above,upper-left
61,"O is at the lower side of R. R is to the right of P and is on the same horizontal plane. P is above and to the right of M. O is at a 45 degree angle to Z, in the lower righthand corner. C is below M at 7 o'clock.",What is the relation of the agent C to the agent R?,lower-left,upper-left,lower-left
62,The object labeled D is positioned to the left of the object labeled Y. D presents upper left to U. Y is diagonally to the bottom left of M. J is sitting at the lower left position to V. V is above U with a small gap between them.,What is the relation of the agent V to the agent D?,right,upper-left,above
63,The objects W and F are over there. The object W is above and slightly to the right of the object F. V is positioned left to F. W is over there and E is on the top of it. B and A are side by side with A at the bottom and B on the top. V is over there and B is on the right of it.,What is the relation of the agent F to the agent B?,overlap,upper-right,below
64,H is above J and to the left of J. G is there and S is at the 10 position of a clock face. H is directly south east of P. J is to the left of E. P is placed in the left direction of G.,What is the relation of the agent S to the agent H?,left,upper-right,upper-left
65,Q is directly above O. V is on the right side to Y. J is directly above Q. X is over there and Y is on the left. J is over there and V is on the top of it.,What is the relation of the agent J to the agent V?,below,upper-right,above
66,"Object D is above object K and to the right of it, too. J is above and to the right of Y. J is placed on the top of N. K is upper right to X. N is on the right and D is on the left.",What is the relation of the agent Y to the agent D?,overlap,below,lower-left
67,"The object O is upper and slightly to the left of the object V. The object Y is positioned directly below the object T. If Y is the center of a clock face, D is located between 2 and 3. D is upper right to K. K is placed on the top of O.",What is the relation of the agent D to the agent V?,above,above,upper-left
68,S is on the top of T and is on the same vertical plane. T and D are next to each other with D on the right and T on the left. C is over there with L above. C is there and B is at the 10 position of a clock face. S is on top of B.,What is the relation of the agent B to the agent L?,left,upper-right,upper-left
69,I is south west of M. T is north east of P. N is to the right of I horizontally. T is positioned above N and to the left. The objects M and U are over there. The object M is above and slightly to the right of the object U.,What is the relation of the agent N to the agent T?,lower-right,upper-left,above
70,F is at the bottom and A is on the top. N is at the 6 o'clock position relative to W. A is at the bottom of B. W and B are next to each other with B on the right and W on the left. F is sitting in the left direction of D.,What is the relation of the agent A to the agent N?,right,above,above
71,G is under H. M is diagonally to the upper right of Y. R is positioned right to M. The object G is positioned directly below the object X. R is to the left of X and below X at approximately a 45 degree angle.,What is the relation of the agent Y to the agent X?,lower-left,upper-right,upper-left
72,C presents upper left to Q. The object labeled S is positioned to the right of the object labeled V. Q is to the right and above T at an angle of about 45 degrees. C is to the top of B vertically. T is diagonally to the bottom right of V.,What is the relation of the agent S to the agent Q?,right,upper-right,upper-right
73,Q is on the right side to R. M is sitting at the upper left position to W. Q is to the right of W horizontally. Z is placed on the top of M. R is positioned below F.,What is the relation of the agent R to the agent W?,overlap,below,below
74,"F is on the left side to N. Z is over there and L is on the left. R is positioned below Q and to the left. F is at a 45 degree angle to Q, in the upper righthand corner. L is placed at the lower right of R.",What is the relation of the agent Q to the agent R?,lower-left,above,above
75,"P is on the left side of and below F. I is positioned up and to the right of H. I is directly south east of B. If F is the center of a clock face, O is located between 2 and 3. O is positioned in the lower left corner of H.",What is the relation of the agent F to the agent H?,lower-left,upper-right,below
76,"B and G are parallel, and B is on top of G. H is positioned left to U. H and Z are parallel, and H is to the left of Z. G is under Q. U and Q are parallel, and U is over Q.",What is the relation of the agent G to the agent Q?,below,below,below
77,C is to the bottom right of D. D is on the top side to Y. Y is positioned below E. X is positioned right to C. T is sitting at the 6:00 position to E.,What is the relation of the agent D to the agent T?,above,upper-left,above
78,D is diagonally right and above J. O is lower left to Q. E is over there and D is on the right. The object Q and E are there. The object E is above and slightly to the left of the object Q. J is over there and A is on the left.,What is the relation of the agent D to the agent O?,upper-right,upper-left,upper-left
79,O is above T. B and U are in a horizontal line with B on the left. U is sitting in the left direction of Q. O is sitting at the upper left position to Q. A is over there and B is on the left.,What is the relation of the agent O to the agent T?,above,above,above
80,M is there and R is at the 10 position of a clock face. M is placed in the right direction of U. R and Z are next to each other with Z on the right and R on the left. J is at X's 6 o'clock. J is over there with Z below.,What is the relation of the agent J to the agent X?,below,upper-left,lower-left
81,The object labeled C is positioned to the right of the object labeled P. P is positioned up and to the right of B. C and W are horizontal and C is to the right of W. N is positioned above B and to the left. W is under D.,What is the relation of the agent W to the agent N?,right,below,above
82,V is positioned in the lower right corner of J. C is at the lower side of L. C presents lower right to J. The object V is positioned directly above the object A. B is south west of L.,What is the relation of the agent A to the agent C?,below,upper-left,upper-left
83,A is over there and C is directly below it. W is on the lower right of Z. The object X is positioned below and to the right of the object W. X is positioned above and to the left of Y. Z is at the bottom of C.,What is the relation of the agent X to the agent W?,lower-right,upper-right,lower-left
84,H is to the left of I. I is over K. H is there and G is at the 10 position of a clock face. Z is to the top right of K. A presents upper right to Z.,What is the relation of the agent I to the agent K?,above,above,above
85,B is at the 3 o'clock position relative to K. Y is on the same horizontal plane directly left to Z. A is sitting at the 3:00 position to N. N is on the right side to K. Y is below B and to the left of B.,What is the relation of the agent Z to the agent B?,below,above,below-left
86,B is there and O is at the 5 position of a clock face. The object N is positioned directly above the object B. J is on top of N. Z is above O at 2 o'clock. X and Z are both there with the object X is to the right of object Z.,What is the relation of the agent X to the agent O?,above,upper-right,upper-left
