Context_id,Story,Question,Question_Type,Answer,Candidate_Answers,Steps_of_Reasoning,Is_Commonsense_Question,model_answer_CoT,model_answer_Visualization
images/00/967.jpg,"portrait of a coloured , dark-haired boy with a bit washed-out green hat , white tee-shirt and a claret vest pullover , in front of a branch of a conifer .",Is the pullover above the blue conifer?,YN,No,"Yes, No",1.0,,No,No
annotations/01/1232.eng,a light brown house with a garden with a thatched roof and white chairs and tables,Are the tables above the thatched thing?,YN,No,"Yes, No",1.0,True,No,No
images/00/686.jpg,six kids are sitting around a table and playing with toy cars . one kid is standing next to the table . a woman is holding a black plastic bag on the left . three tourists in the background are talking to each other .,Is the kid above the table?,YN,No,"Yes, No",1.0,,No,No
images/00/717.jpg,"children are sitting at their desks , together with a tourist sitting in the last row . three children are standing on the left , looking at a map of Peru . there are two posters on the wall at the back , and there is a bookshelf with a lot of boxes and folders on the left .",Is the map to the right of the tourist?,YN,Yes,"Yes, No",2.0,True,No,No
images/01/1326.jpg,"A room with grey walls , two single beds made of wood with grey and brown chequered bedcovers and pillows . A room with grey walls , two single beds made of wood with grey and brown chequered bedcovers and pillows. Night table with a bedside lamp between the two beds . A room with grey walls , two single beds made of wood with grey and brown chequered bedcovers and pillows. Night table with a bedside lamp between the two beds. Window with grey curtains in the background .",Is the table above the beds?,YN,No,"Yes, No",2.0,,No,No
images/01/1177.jpg,there are cars at the roofed entrance of a grey hotel with the writing Hilton Colon Quito,Is the grey thing in front of the cars?,YN,No,"Yes, No",,,Yes,Yes
images/00/738.jpg,Excited kids are standing at their desks in a classroom . some of them seem to be very happy and are laughing . there are pictures of trees on the wall at the back . two girls have an open book on their desk .,Is the book in front of the Desk?,YN,No,"Yes, No",1.0,,No,No
annotations/00/789.eng,"a dark-skinned , dark-haired boy in a red tee-shirt with blue sleeves is standing next to a school desk",Is the blue thing far from the desk?,YN,No,"Yes, No",,False,No,No
annotations/01/1221.eng,"a room with walls that are wallpapered in grey and brown and a double bed with a multicoloured bedcover , night tables on both sides , an iron ornament behind it and two lamps above it there is also a window with curtains on the very left",Is the lamps above the tables?,YN,Yes,"Yes, No",,False,No,No
annotations/01/1426.eng,"front view of a light brown , two-storey building with white window frames , a terrace with sunshades and tables in front of it there is a street in the foreground and a forest in the background",Is the tables behind the white thing?,YN,No,"Yes, No",,False,No,No
images/01/1111.jpg,"a room with white walls , a wooden bed with a light brown blanket , bedside lamps on both sides . a table with a flower pot in the foreground . window with curtains in the background .",Is the blanket behind the table?,YN,Yes,"Yes, No",,,No,No
images/01/1326.jpg,"A room with grey walls , two single beds made of wood with grey and brown chequered bedcovers and pillows . A room with grey walls , two single beds made of wood with grey and brown chequered bedcovers and pillows. Night table with a bedside lamp between the two beds . A room with grey walls , two single beds made of wood with grey and brown chequered bedcovers and pillows. Night table with a bedside lamp between the two beds. Window with grey curtains in the background .",Is the lamp over the table?,YN,Yes,"Yes, No",,True,No,Yes
annotations/00/854.eng,"a dark-skinned , dark-haired boy is wearing a blue pullover with a white elephant having a yellow hat on its head at the front the boy is sitting at his desk in a classroom two kids are sitting behind him writing bienvenidos on the wall",Is the boy in the blue thing?,YN,Yes,"Yes, No",,True,Yes,Yes
images/00/705.jpg,"Seven tourists are visiting a classroom . children are sitting at round tables , nearly all of them wearing a green hat ( except for two kids ) . tourists are smiling at the kids . there are posters and maps on the wall in the background .",Is the poster behind the tourists?,YN,Yes,"Yes, No",,True,Yes,Yes
images/00/690.jpg,"Lots of locals ( both kids and adults ) in front of a blue building . one kid is about to slide down the slide , with one grown up waiting to catch it . another woman is carrying a basket in her left hand , with a kid holding her other hand . others are just sitting around or are standing in the background . there are snow covered mountains in the distant background .",Is the Basket to the right of the Woman?,YN,No,"Yes, No",2.0,,Yes,No
