Story,Question,Q_type,Candidate_Answers,Answer,Reasoning_type,llama70B_Base,llama70B_CoT,llama70B_Visual
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",What block does not have any blue objects inside of it?,FB,"['A', 'B', 'C']",['A'],['Negation'],['A'],A,['A']
"There is three blocks called A, B, C. Block A has two big blue shapes to the left of a big yellow triangle. There is also a little triangle to the left of blue objects. there is a big black triangle touching the bottom edge of block B. A medium circle is at top of the block B and a small blue circle is near to it. Block C is left to the blocks A and B. It has two medium triangles. one of them is to the right of the other.",Which block has a triangle to the left of and right of a blue object?,FB,"['A', 'B', 'C']",['A'],['Transitivity'],['A'],A,['A']
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black triangle. In B, there is a small blue circle that is far below a medium yellow square. In C, there is a small yellow square near and above a small black triangle. The black triangle is near and to the right of a large black square. There is a medium blue triangle below the large black square.",What block has does not have any triangles inside?,FB,"['A', 'B', 'C']",['B'],"['Negation', ' Quantifier']",['B'],B,['B']
"There is a block called A. In A, there a large black circle that is far below a large yellow square. There is a block called B, Which is to the right of A. In B, there is a large blue square near and to the left of a large blue triangle. The blue triangle is near and to the right of a small yellow square. There is another block called C, Which is to the right of B. In C, there is a small blue circle that is near and above a small yellow square. Far below the small square is a large blue square.",Does C have any triangles inside of it?,YN,"['Yes', 'No', 'DK']",['No'],['Quantifier'],['No'],'No',['No']
"There are three blocks called A, B, and C. A is on top of B and B is on top of C. In A there are 3 circles: a small red one, a green one, and a big blue one. The small red and green circles are above the big blue circle. The big blue circle is touching the bottom edge of A, and the green circle is touching the top edge of A. In B there is a orange triangle, Which is above a purple rectangle. The purple rectangle is touching the bottom edge of B. In C, there are 3 squares, a small white one, a small black one, and a large yellow one. The small white square is touching the left edge of C, while the small black square is touching the right edge of C. The large yellow square is adjacent to the white square, and is touching the bottom edge of C.",What object is not above the purple rectangle? the orange triangle or  the white square?,CO,"[' the orange triangle', ' the white square', 'both of them', 'none of them']",[' the white square'],['Negation'],[' the white square'],'the white square',[' the white square']
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small yellow circle that is near and to the left of a medium blue triangle. Touching the top of the triangle is a large yellow square. In B, there is a large blue circle near and below a small blue square. There is a large black triangle far to the right of the small blue square. In C, there is a small blue triangle that is far below a medium black triangle. The black triangle was near and below a medium blue triangle.","What object is to the right of the large black thing, the large yellow thing or the small blue triangle? the large yellow thing  or  the small blue triangle ?",CO,"[' the large yellow thing ', ' the small blue triangle ', 'both of them', 'none of them']",['none of them'],"['Lists/Sets', ' Converse']",[' the small blue triangle '],'the small blue triangle',[' the small blue triangle ']
"There are three blocks called A, B, and C. A is to the left of B Which is to the left of C. In A, there is a large black triangle near and above a large black square. To the right of the black triangle is a large blue triangle. In B, there is a medium yellow square near and below a small blue circle. In C, there is a small blue square far above a small yellow square. There is a small blue circle to the right of the small yellow square. There is a medium yellow circle near and to the right of the small blue circle. There is also a medium blue circle below the medium yellow circle.",What object is to the right of the medium yellow thing in B? the medium yellow circle or   the large blue triangle ?,CO,"[' the medium yellow circle', '  the large blue triangle ', 'both of them', 'none of them']",[' the medium yellow circle'],"['Lists/Sets', ' Converse']",['the small blue circle'],'the small blue circle',[' the small blue circle']
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small black triangle near and below a large yellow circle. Far to the right of the yellow circle is a small blue square. In B, there is a large black triangle far below a small blue circle. The small blue circle is near and below a small blue triangle. In C, there is a small blue circle.",Is the small blue circle in B below a large black thing?,YN,"['Yes', 'No', 'DK']",['No'],['Transitivity'],['Yes'],'Yes',['Yes']
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small black triangle near and below a large yellow circle. Far to the right of the yellow circle is a small blue square. In B, there is a large black triangle far below a small blue circle. The small blue circle is near and below a small blue triangle. In C, there is a small blue circle.",Is the small black thing to the right of the small blue thing in C?,YN,"['Yes', 'No', 'DK']",['No'],"['Lists/Sets', ' Transitivity']",['Yes'],'Yes',['No']
"There are three blocks A, B and C. A blue triangle is touching the right edge of block A. Block B has four objects. There is a medium black square at the top of this block. There is a big blue square at the top of this block and near to the medium square. Two big black circles are below these objects. one of the circles is touching the bottom edge of its block. block C is above A and block B is above it. Three medium blue triangles and two squares are in this block. the squares are below all triangles. two of the triangles and one of the squares are to the left of the  other square.",Which object is to the right of the a medium triangle? a medium blue triangle  or  a square?,CO,"[' a medium blue triangle ', ' a square', 'both of them', 'none of them']",['both of them'],,['a square'],'a square',[' a square']
