Context_id,Story,Question,Question_Type,Answer,Candidate_Answers,Steps_of_Reasoning,Is_Commonsense_Question
annotations/00/676.eng,"two tourists , both of them wearing backpacks , are visiting a school with ten pupils . the woman is wearing brown shorts and a yellow sleveless top . the man is wearing long black pants and a blue shirt .",Are the tourists near to the pupils?,YN,Yes,"Yes, No",,True
annotations/00/676.eng,"two tourists , both of them wearing backpacks , are visiting a school with ten pupils . the woman is wearing brown shorts and a yellow sleveless top . the man is wearing long black pants and a blue shirt .",Are the shorts touching the yellow thing?,YN,Yes,"Yes, No",1,
annotations/00/676.eng,"two tourists , both of them wearing backpacks , are visiting a school with ten pupils . the woman is wearing brown shorts and a yellow sleveless top . the man is wearing long black pants and a blue shirt .",Is the blue thing disconnected the black thing?,YN,No,"Yes, No",,False
annotations/00/676.eng,"two tourists , both of them wearing backpacks , are visiting a school with ten pupils . the woman is wearing brown shorts and a yellow sleveless top . the man is wearing long black pants and a blue shirt .",Is the man above the pants?,YN,No,"Yes, No",1,
annotations/00/678.eng,"A school kid is sitting at a desk , smiling into the camera and being offered a red apple . three other kids in the background .",Is the red thing in front of the kid?,YN,Yes,"Yes, No",,True
annotations/00/678.eng,"A school kid is sitting at a desk , smiling into the camera and being offered a red apple . three other kids in the background .",Are the kids in front of the desk?,YN,No,"Yes, No",,False
annotations/00/678.eng,"A school kid is sitting at a desk , smiling into the camera and being offered a red apple . three other kids in the background .",Is the camera in front of the all kids?,YN,Yes,"Yes, No",,True
annotations/00/678.eng,"A school kid is sitting at a desk , smiling into the camera and being offered a red apple . three other kids in the background .",Is the Desk in front of the Kids?,YN,Yes,"Yes, No",2,
images/00/679.jpg,"Four tourists are sitting on a bus. Four tourists are sitting on a bus. Two women in the front row with their heads turned around. another one in the second row looking out the window. and one man with sunglasses in the very last row , looking out the window too.",Are the tourists in front of the bus?,YN,No,"Yes, No",1,
images/00/679.jpg,"Four tourists are sitting on a bus. Four tourists are sitting on a bus. Two women in the front row with their heads turned around. another one in the second row looking out the window. and one man with sunglasses in the very last row , looking out the window too.",Are the tourists behind of the bus?,YN,No,"Yes, No",1,False
images/00/679.jpg,"Four tourists are sitting on a bus. Four tourists are sitting on a bus. Two women in the front row with their heads turned around. another one in the second row looking out the window. and one man with sunglasses in the very last row , looking out the window too.",Are the tourists in the bus?,YN,Yes,"Yes, No",,True
images/00/679.jpg,"Four tourists are sitting on a bus. Four tourists are sitting on a bus. Two women in the front row with their heads turned around. another one in the second row looking out the window. and one man with sunglasses in the very last row , looking out the window too.",Are the women's heads facing the front of the bus?,YN,No,"Yes, No",1,
images/00/679.jpg,"Four tourists are sitting on a bus. Four tourists are sitting on a bus. Two women in the front row with their heads turned around. another one in the second row looking out the window. and one man with sunglasses in the very last row , looking out the window too.",Is the person in the second row behind the women in the first row?,YN,Yes,"Yes, No",1,
images/00/679.jpg,"Four tourists are sitting on a bus. Four tourists are sitting on a bus. Two women in the front row with their heads turned around. another one in the second row looking out the window. and one man with sunglasses in the very last row , looking out the window too.",Is the person in the second row Above the bus?,YN,No,"Yes, No",1,
images/00/679.jpg,"Four tourists are sitting on a bus. Four tourists are sitting on a bus. Two women in the front row with their heads turned around. another one in the second row looking out the window. and one man with sunglasses in the very last row , looking out the window too.",Are the women in front of the man?,YN,Yes,"Yes, No",,True
images/00/679.jpg,"Four tourists are sitting on a bus. Four tourists are sitting on a bus. Two women in the front row with their heads turned around. another one in the second row looking out the window. and one man with sunglasses in the very last row , looking out the window too.",Is the man behind the bus?,YN,No,"Yes, No",1,
images/00/682.jpg,"A tourist group is visiting a school. the school kids are sitting at their desks , singing a song and clapping their hands , with their teacher clapping as well . six of the tourists are standing behind them and are watching them , one tourist is taking a photo .",Are the tourists in the school?,YN,Yes,"Yes, No",,True
images/00/682.jpg,"A tourist group is visiting a school. the school kids are sitting at their desks , singing a song and clapping their hands , with their teacher clapping as well . six of the tourists are standing behind them and are watching them , one tourist is taking a photo .",Are the kids sitting in front of the teacher?,YN,No,"Yes, No",1,
images/00/682.jpg,"A tourist group is visiting a school. the school kids are sitting at their desks , singing a song and clapping their hands , with their teacher clapping as well . six of the tourists are standing behind them and are watching them , one tourist is taking a photo .",Are the Kids above the school?,YN,No,"Yes, No",2,
images/00/682.jpg,"A tourist group is visiting a school. the school kids are sitting at their desks , singing a song and clapping their hands , with their teacher clapping as well . six of the tourists are standing behind them and are watching them , one tourist is taking a photo .",Are the Kids inside of the school?,YN,Yes,"Yes, No",3,
images/00/683.jpg,"Three women are sitting on a wooden bench in front of an about one metre high , red brick wall . they are all wearing skirts and jumpers with gilets . two of them are wearing a hat too. one man is standing behind the wall. a wooden door on the left is being held open by a red brick .",Is the bench above the women?,YN,Yes,"Yes, No",,True
images/00/683.jpg,"Three women are sitting on a wooden bench in front of an about one metre high , red brick wall . they are all wearing skirts and jumpers with gilets . two of them are wearing a hat too. one man is standing behind the wall. a wooden door on the left is being held open by a red brick .",Are the women behind the red thing?,YN,No,"Yes, No",1,
