Context_id,Story,Question,Question_Type,Answer,Candidate_Answers,Steps_of_Reasoning,Is_Commonsense_Question,model_answer
annotations/00/827.eng,"a dark-skinned , dark-haired girl in a black blouse is standing in a classroom in front of a wooden wall",Is the black thing in front of the wall?,YN,Yes,"Yes, No",,False,Yes
images/01/1037.jpg,"interior view of a room with two single beds with a yellow and red chequered bedcover and a night table in between the two beds . on the right a wooden commode and a red chair . a window at the back , with the curtains closed .",Is the window in front of the curtains?,YN,No,"Yes, No",,True,No
annotations/00/846.eng,"a dark-skinned , dark-haired girl in a white tee-shirt is sitting at a desk in a classroom some sheets of paper are lying on the desk in front of her",Is the hair near the desk?,YN,Yes,"Yes, No",1.0,True,Yes
annotations/01/1376.eng,"a room with a double bed , a carpet and a night table on the left , a painting above it and two burning lamps",Is the table to the right of the bed?,YN,No,"Yes, No",1.0,False,No
annotations/00/806.eng,"a dark-skinned , dark-haired girl wearing a dark blue jumper and a light blue skirt is sitting at a desk in front of a building",Is the light blue thing in front of the building?,YN,Yes,"Yes, No",,False,No
images/00/742.jpg,tourists are standing in the classroom of a school in front of the blackboard . there is a clock and the writing Dios es Amor above the blackboard .,Is the clock below the school?,YN,No,"Yes, No",1.0,True,No
annotations/00/810.eng,"a dark-skinned , dark-haired boy in a blue pullover is sitting on a green bench colourful handprints on the wall behind him",Is the wall behind the green thing?,YN,Yes,"Yes, No",,False,Yes
images/00/692.jpg,"there are two social workers in the foreground . one wearing a red pullover and brown pants is bending over to access the blue paint . the other one in a red tee-shirt and black jeans is watching her . at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting . there are many newspapers on the ground to protect the kindergarten floor . all three workers are wearing a mask .",Is the mask touching the workers?,YN,Yes,"Yes, No",1.0,,Yes
images/01/1326.jpg,"A room with grey walls , two single beds made of wood with grey and brown chequered bedcovers and pillows . A room with grey walls , two single beds made of wood with grey and brown chequered bedcovers and pillows. Night table with a bedside lamp between the two beds . A room with grey walls , two single beds made of wood with grey and brown chequered bedcovers and pillows. Night table with a bedside lamp between the two beds. Window with grey curtains in the background .",Are the pillows inside the room?,YN,Yes,"Yes, No",,True,Yes
annotations/01/1368.eng,"view of the upper level of a house with a wooden door , window , pillars and rails there are stairs on the left and a very dense vegetation on the right and more houses in the distant background",Is the rails right of the vegetation?,YN,No,"Yes, No",,False,No
