ID,Story,Question,Label
0,A is below F with a small gap between them. E is to the right and above F at an angle of about 45 degrees. A is sitting at the 3:00 position to W. W presents lower left to V. O is on the same horizontal plane directly left to V. G presents lower left to O.,What is the relation of the agent V to the agent A?,above
1,N and U are next to each other with N on the left and U on the right. The object X is upper and slightly to the right of the object K. U is over there and K is on the right of it. The object N is lower and slightly to the right of the object V. X presents below C. L is diagonally to the upper right of V.,What is the relation of the agent V to the agent X?,left
2,"K and I are parallel, and K is over I. E is at K's 12 o'clock. Q is placed at the lower left of W. E is diagonally to the bottom left of Y. W is there and P is at the 2 position of a clock face. Q is positioned above Y and to the left.",What is the relation of the agent P to the agent K?,upper-right
3,H is to the bottom-left of M. T is positioned above and to the left of S. G is on the top side to Y. Y presents over S. G is above B. T is positioned below and to the right of H.,What is the relation of the agent S to the agent M?,lower-right
4,"Q is directly below A. L is lower left to D. Q and Z are parallel, and Z is below Q. Z and D are side by side with D at the bottom and Z on the top. A is sitting at the 3:00 position to U. Y is over there and U is on the left.",What is the relation of the agent D to the agent A?,below
5,B is below D at 7 o'clock. D is placed at the upper left of M. K is to the right and above M at an angle of about 45 degrees. N is over there and K is on the right of it. Y is placed in the right direction of O. N is over Y.,What is the relation of the agent N to the agent O?,upper-right
6,J is placed at the bottom of A. J is to the bottom-right of L. L is on the same horizontal plane directly left to E. A is to the left of D with a small gap between them. X is on the lower left of G. X is diagonally right and above E.,What is the relation of the agent J to the agent A?,above
7,B is to the right of C and is on the same horizontal plane. N is lower right of C. T is below O. O is positioned above U. T is to the upper left of A. A is sitting at the lower right position to N.,What is the relation of the agent N to the agent B?,below
8,W is upper left of G. N is to the right of T horizontally. The object labeled Y is positioned to the right of the object labeled W. H is positioned above T and to the right. N and B are in a vertical line with N on top. B is to the right of G with a small gap between them.,What is the relation of the agent W to the agent G?,upper-left
9,Z is lower right of S. Q and A are in a horizontal line with Q on the left. A is lower left to B. The object labeled Z is positioned to the right of the object labeled Q. The object B is upper and slightly to the right of the object T. T and V are vertical and T is below V.,What is the relation of the agent V to the agent Z?,above
