ID,Story,Question,Label,reasoning,answer
0,U is to the bottom right of A. A is south west of F. K is to the upper left of F. I is positioned left to T. U is above and to the left of I.,What is the relation of the agent U to the agent A?,lower-right,ERROR: Unable to process response: RetryError[<Future at 0x12d389970 state=finished raised BadRequestError>],ERROR
1,R is on the right side and below M. V is on the lower left of D. R is sitting at the 3:00 position to P. D is diagonally to the bottom right of M. V is on the top of I and is on the same vertical plane.,What is the relation of the agent D to the agent V?,upper-right,"1. Parse facts: is(""R"", right, ""M""), is(""V"", lower-left, ""D""), is(""R"", below, ""P""), is(""D"", lower-right, ""M""), is(""V"", above, ""I""), is(""V"", upper-right, ""I""). query(""D"", ""V"")
2. Set V at (0,0)
3. Connect objects:
   V(0,0) to I: I = V + offset(0,1) = (0,0) + (0,1) = (0,1)
   V(0,0) to D: D = V + offset(lower-right) = (0,0) + (1,-1) = (1,-1)
4. D is at (1,-1) relative to V(0,0)
5. dx=1, dy=-1, so D is below V
Answer: below",below
2,L and U are side by side with L to the left and U to the right. U is placed in the right direction of M. C is diagonally to the bottom right of L. G is directly below C. G and S are side by side with G to the right and S to the left.,What is the relation of the agent U to the agent C?,above,"Step 1, 2,3 ...",right
3,Y is on the right side and top of D. J is sitting at the lower right position to V. V is placed at the upper left of D. Z is at Y's 12 o'clock. X and J are in a vertical line with J below X.,What is the relation of the agent Z to the agent V?,upper-right,"Step 1, 2,3 ...",above
4,E and B are next to each other with B on the right and E on the left. The object E and T are there. The object E is below and slightly to the right of the object T. G is to the right of F and is on the same horizontal plane. B is to the bottom-left of G. X is placed at the lower right of F.,What is the relation of the agent G to the agent F?,right,ERROR: Unable to process response: RetryError[<Future at 0x12863e810 state=finished raised BadRequestError>],ERROR
5,Z is at T's 6 o'clock. G and A are both there with the object A below the object G. D is over there and Z is on the right of it. V is to the bottom left of T. The objects A and V are over there. The object A is lower and slightly to the left of the object V.,What is the relation of the agent G to the agent D?,left,ERROR: Unable to process response: RetryError[<Future at 0x12842ce60 state=finished raised BadRequestError>],ERROR
6,E and Z are side by side with E to the right and Z to the left. B and C are in a vertical line with B on top. Y is above E at 2 o'clock. Z is sitting in the left direction of N. C is to the bottom-left of N.,What is the relation of the agent N to the agent C?,upper-right,"1. Parse facts: is(""E"", right, ""Z""). is(""B"", above, ""C""). is(""Y"", above, ""E""). is(""Z"", left, ""N""). is(""C"", lower-left, ""N""). query(""N"", ""C"")",lower-left
7,C and G are in a horizontal line with C on the left. The object E is lower and slightly to the left of the object R. The object J is upper and slightly to the left of the object R. C presents upper right to T. J is to the top-right of G.,What is the relation of the agent T to the agent G?,lower-left,"Step 1, 2,3 ...",right
8,M and I are next to each other with I on the right and M on the left. S is on the left side to T. S is placed at the lower left of I. D is below and to the left of M. Q is diagonally above D to the right at a 45 degree.,What is the relation of the agent S to the agent M?,below,"1. Parse facts: is('I', right, 'M'). is('S', left, 'T'). is('S', lower-left, 'I'). is('D', below, 'M'). is('D', left, 'M'). is('Q', upper-right, 'D'). query('S', 'M')",left
9,"Z is positioned up and to the right of V. C is positioned left to M. O and Z are next to each other with O on the left and Z on the right. C and W are parallel, and C is over W. Object O is below object W and to the left of it, too.",What is the relation of the agent M to the agent V?,upper-right,"1. Parse facts: is(""O"", left, ""Z""). is(""C"", left, ""M""). is(""O"", below, ""W""). is(""O"", left, ""W""). is(""C"", above, ""W""). is(""C"", parallel, ""W""). query(""M"", ""V"")",right
10,"G is sitting at the upper right position to C. M and C are parallel, and M is to the right of C. S is directly south west of M. W is placed in the left direction of G. W is over there and E is on the right.",What is the relation of the agent W to the agent M?,upper-right,"Step 1, 2,3 ...",left
11,"Y is at the 6 o'clock position relative to S. Q and Y are side by side with Y at the bottom and Q on the top. The object S is positioned above and to the right of the object M. M is sitting at the upper right position to G. If G is the center of a clock face, P is located between 10 and 11.",What is the relation of the agent S to the agent G?,upper-right,ERROR: Unable to process response: RetryError[<Future at 0x128409550 state=finished raised BadRequestError>],ERROR
12,"E is sitting at the upper right position to C. S is diagonally below C to the left at a 45 degree angle. If O is the center of a clock face, U is located between 4 and 5. T is over there and O is directly below it. T and S are next to each other with S at the bottom T on the top.",What is the relation of the agent C to the agent U?,above,"1. Parse facts: is('E', upper-right, 'C'). is('S', lower-left, 'C'). is('U', between, '4', '5'). is('T', over, 'O'). is('O', below, 'T'). is('T', next-to, 'S'). is('S', below, 'T'). Query: query('C', 'U')",right
