Context_id,Story,Question,Question_Type,Answer,Candidate_Answers,Steps_of_Reasoning,Is_Commonsense_Question,ollama/openchat,ollama/llama3,ollama/mistral,ollama/phi3:mini,ollama/gemma:2b
annotations/00/861.eng,"a dark-skinned , dark-haired girl in a blue sweater with a pink nametag is standing in a classroom",Is the pink thing contain the blue thing?,YN,No,"Yes, No",,True,no,yes,no,ERROR: Unable to get response,ERROR: Unable to get response
images/01/1197.jpg,a three-storey house made of red bricks with green ornaments and a yellow corner with a sign saying La Posada del Conde . all levels have arched windows . there is a jeep in front of the house on the left .,Is the jeep inside the front of the house?,YN,Yes,"Yes, No",,,no,no,no,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1369.eng,"a room with a double bed made of dark wood , a blue and white chequered bedcover , white pillows , a door on the left , a fancy lamp and a fridge on the right",Is the lamp left of the chequered thing?,YN,No,"Yes, No",,False,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1216.eng,"a bungalow with two hammocks in front of the entrance and two trees next to it there are people at the entrance , and a meadow and a forest in the background",Is the bungalow in front of the hammocks?,YN,No,"Yes, No",,False,yes,no,yes,ERROR: Unable to get response,ERROR: Unable to get response
images/00/754.jpg,Tourists are standing on a wet sidewalk and are carrying bags of food . people are wearing rain coats and jackets . a house with brick walls and two garage doors behind them .,Is the food touching the sidewalk?,YN,No,"Yes, No",1.0,,no,yes,no,ERROR: Unable to get response,ERROR: Unable to get response
annotations/00/844.eng,"a dark-skinned , dark-haired boy in a black pullover and light brown shirt in a classroom two more boys in the background",Is the black thing in the boy?,YN,No,"Yes, No",,True,no,yes,no,ERROR: Unable to get response,ERROR: Unable to get response
images/00/686.jpg,six kids are sitting around a table and playing with toy cars . one kid is standing next to the table . a woman is holding a black plastic bag on the left . three tourists in the background are talking to each other .,Is the kid above the table?,YN,No,"Yes, No",1.0,True,yes,yes,no,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1208.eng,"a room with white walls , a double bed made of wood , a light blue and white chequered bedcover and white towels and a black chimney in the back corner",Is the black thing in front of the light blue and white thing?,YN,No,"Yes, No",2.0,False,yes,no,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1339.eng,"A room with an unmade bed ( just the mattress ) , a wooden door on the right , a separate bathroom on the left white tiles on the floor walls look like marmol",Is the door close to the marmol thing?,YN,Yes,"Yes, No",,True,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
images/00/935.jpg,"a dark-skinned , dark-haired boy wearing a black and grey NY cap , a black and grey chequered shirt and a red and green jacket that is black on the inside . grey wall of a house on the right , reddish house with some wood on the left in the background .",Are the red thing and green thing touching?,YN,Yes,"Yes, No",2.0,True,no,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
images/01/1039.jpg,inside photograph of a room with a red carpet . inside photograph of a room with a red carpet. There is a wooden table and a wooden commode to the left . inside photograph of a room with a red carpet. There is a wooden table and a wooden commode to the left. A bed to the right . inside photograph of a room with a red carpet. There is a wooden table and a wooden commode to the left. A bed to the right. Two red armchairs with a round table on the left at the back . inside photograph of a room with a red carpet. There is a wooden table and a wooden commode to the left. A bed to the right. Two red armchairs with a round table on the left at the back. Further curtains and a standard lamp .,Is the red thing inside the room?,YN,Yes,"Yes, No",,True,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/00/818.eng,"a dark-skinned , dark-haired girl in red vest is sitting outside boulders in background",Are the boulders in front of the red thing?,YN,No,"Yes, No",2.0,False,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
images/00/779.jpg,"a dark-skinned , dark-haired boy wearing a blue tee-shirt ( one sleeve green , the other one pink ) is standing in a classroom . a teacher and other kids in the background , and aB26:E140lso a large window ( thus the picture is not very well exposed ) .",Is the blue shirt behind the window?,YN,No,"Yes, No",,True,no,no,no,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1358.eng,"a multi-storey frame house on the left , a snowcovered mountain in the background on the right behind a couple of trees , and in the foreground a wall decorated with flowers , a garden and a lawn",Is the house to the left of the mountain?,YN,Yes,"Yes, No",2.0,False,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/00/800.eng,"a dark-skinned , dark-haired girl in a light brown jumper with orange edges is standing in front of a desk pictures on a wooden wall in the background",Is the desk behind the light brown thing?,YN,Yes,"Yes, No",2.0,False,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1361.eng,"a white house with two large windows with wooden frames , two wooden pillars at the terrace with wooden benches and a wooden table there are mountains in the background on the right",Are the benches far from the terrace?,YN,No,"Yes, No",1.0,True,no,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1387.eng,"a room with two double beds and a night table with a lamp and a phone in between , a painting above it on the white wall , a light blue ornamental strip and a dark green on the left",Is the phone to the right of the light blue thing?,YN,Yes,"Yes, No",2.0,False,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
images/01/1049.jpg,"exterior view of a light brown house , with stairs rising to the entrance of the second floor on the left , a tower with two small windows in the centre . there is an arch below the stairs leading to the entrance of the first floor . Exterior view of a light brown house , with stairs rising to the entrance of the second floor on the left , a tower with two small windows in the centre . There is an arch below the stairs leading to the entrance of the first floor. attached houses on the right . attached houses on the right. blue sky in the background .",Is the arch above the entrance?,YN,No,"Yes, No",1.0,True,no,no,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1425.eng,two single beds made of wood with white bedcovers in a room with white walls and a window with brownish green curtains,Are the bedcovers near the bed?,YN,Yes,"Yes, No",1.0,True,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1235.eng,"a room with grey walls , a single bed with green , yellow and purple stripes and a bed table on both sides",Is the table near the bed?,YN,Yes,"Yes, No",1.0,False,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1335.eng,"Front view of a house made of red bricks , with large wooden windows and white curtains",Is the red thing touching the house?,YN,Yes,"Yes, No",1.0,True,yes,yes,yes,ERROR: Unable to get response,ERROR: Unable to get response
images/01/1172.jpg,"a room with a grey and turquoise wall and a single bed on the left and on the right , with a white mattress and a blue and grey blanket on top of it . there is also a sleeping bag on the bed on the left and a backpack next to it . there is a fireplace with some ash in between .",Is the ash contain the fireplace?,YN,No,"Yes, No",,,yes,yes,no,ERROR: Unable to get response,ERROR: Unable to get response
annotations/01/1355.eng,"a grey car in front of a three-storey building with white walls and wide windows there is a thatched roof above the entrance on the ground floor , and there are a few people in front of the house",Are the people behind the windows?,YN,No,"Yes, No",2.0,False,no,no,no,ERROR: Unable to get response,ERROR: Unable to get response
