ID,Story,Question,Label,reasoning,answer
0,U is to the bottom right of A. A is south west of F. K is to the upper left of F. I is positioned left to T. U is above and to the left of I.,What is the relation of the agent U to the agent A?,lower-right,,lower-right
1,R is on the right side and below M. V is on the lower left of D. R is sitting at the 3:00 position to P. D is diagonally to the bottom right of M. V is on the top of I and is on the same vertical plane.,What is the relation of the agent D to the agent V?,upper-right,,right
2,L and U are side by side with L to the left and U to the right. U is placed in the right direction of M. C is diagonally to the bottom right of L. G is directly below C. G and S are side by side with G to the right and S to the left.,What is the relation of the agent U to the agent C?,above,,above
3,Y is on the right side and top of D. J is sitting at the lower right position to V. V is placed at the upper left of D. Z is at Y's 12 o'clock. X and J are in a vertical line with J below X.,What is the relation of the agent Z to the agent V?,upper-right,,above
4,E and B are next to each other with B on the right and E on the left. The object E and T are there. The object E is below and slightly to the right of the object T. G is to the right of F and is on the same horizontal plane. B is to the bottom-left of G. X is placed at the lower right of F.,What is the relation of the agent G to the agent F?,right,,right
5,Z is at T's 6 o'clock. G and A are both there with the object A below the object G. D is over there and Z is on the right of it. V is to the bottom left of T. The objects A and V are over there. The object A is lower and slightly to the left of the object V.,What is the relation of the agent G to the agent D?,left,,left
6,E and Z are side by side with E to the right and Z to the left. B and C are in a vertical line with B on top. Y is above E at 2 o'clock. Z is sitting in the left direction of N. C is to the bottom-left of N.,What is the relation of the agent N to the agent C?,upper-right,,upper-right
7,C and G are in a horizontal line with C on the left. The object E is lower and slightly to the left of the object R. The object J is upper and slightly to the left of the object R. C presents upper right to T. J is to the top-right of G.,What is the relation of the agent T to the agent G?,lower-left,,upper-left
8,M and I are next to each other with I on the right and M on the left. S is on the left side to T. S is placed at the lower left of I. D is below and to the left of M. Q is diagonally above D to the right at a 45 degree.,What is the relation of the agent S to the agent M?,below,,below
9,"Z is positioned up and to the right of V. C is positioned left to M. O and Z are next to each other with O on the left and Z on the right. C and W are parallel, and C is over W. Object O is below object W and to the left of it, too.",What is the relation of the agent M to the agent V?,upper-right,,upper-right
10,"G is sitting at the upper right position to C. M and C are parallel, and M is to the right of C. S is directly south west of M. W is placed in the left direction of G. W is over there and E is on the right.",What is the relation of the agent W to the agent M?,upper-right,,upper-left
11,"Y is at the 6 o'clock position relative to S. Q and Y are side by side with Y at the bottom and Q on the top. The object S is positioned above and to the right of the object M. M is sitting at the upper right position to G. If G is the center of a clock face, P is located between 10 and 11.",What is the relation of the agent S to the agent G?,upper-right,,above
12,"E is sitting at the upper right position to C. S is diagonally below C to the left at a 45 degree angle. If O is the center of a clock face, U is located between 4 and 5. T is over there and O is directly below it. T and S are next to each other with S at the bottom T on the top.",What is the relation of the agent C to the agent U?,above,,upper-right
13,"S and U are next to each other with S on the top and U at the bottom. O is positioned up and to the right of W. If G is the center of a clock face, U is located between 10 and 11. The object G is upper and slightly to the right of the object W. Object S is above object M and to the left of it, too.",What is the relation of the agent G to the agent S?,lower-right,,right
14,"V and R are parallel, and R is below V. U and R are next to each other with U on the left and R on the right. U is at L's 3 o'clock. I and V are horizontal and I is to the left of V. Y is to the left of I.",What is the relation of the agent V to the agent U?,upper-right,,upper-right
15,"L is sitting at the 6:00 position to G. I is at a 45 degree angle to L, in the upper lefthand corner. Z is to the left of M with a small gap between them. R is to the bottom-left of I. Z and R are horizontal and Z is to the right of R.",What is the relation of the agent L to the agent G?,below,,below
16,J is slightly off center to the top left and S is slightly off center to the bottom right. W is positioned right to X. Z is diagonally to the bottom right of R. J is below and to the right of Z. R is on the right side and top of X.,What is the relation of the agent W to the agent R?,below,,below
17,B is to the left of M and is on the same horizontal plane. Q is directly north west of B. M and U are side by side with U at the bottom and M on the top. I is over there and A is directly below it. U is at the 3 o'clock position relative to A.,What is the relation of the agent I to the agent Q?,lower-right,,upper-right
18,B is positioned left to Z. F is below S and to the left of S. H and Z are in a vertical line with Z below H. B is sitting in the right direction of V. S is positioned in the front right corner of V.,What is the relation of the agent B to the agent F?,right,,right
19,W is to the right of K with a small gap between them. I is lower left to N. W is diagonally below H to the left at a 45 degree angle. N is placed at the lower left of X. The object H is upper and slightly to the right of the object X.,What is the relation of the agent X to the agent I?,upper-right,,upper-right
20,Z is to the right of M with a small gap between them. The object P and R are there. The object P is below and slightly to the right of the object R. M is directly above R. B is on the lower left of Z. P is at the bottom of H.,What is the relation of the agent H to the agent Z?,below,,above
21,"Y is diagonally to the bottom left of R. The object G is upper and slightly to the left of the object B. M and Y are parallel, and M is to the left of Y. G is at the bottom of J vertically. R and B are parallel, and R on the left of B.",What is the relation of the agent G to the agent M?,upper-right,,above
22,"Object R is above object U and to the right of it, too. G is diagonally to the upper left of B. X is at the lower side of B. D is at R’s 9 o'clock. G is positioned below U.",What is the relation of the agent B to the agent D?,lower-right,,lower-right
