Context_id,Story,Question,Question_Type,Answer,Candidate_Answers,Steps_of_Reasoning,Is_Commonsense_Question,model_answer_Base,model_answer_CoT,model_answer_visual
images/00/938.jpg,"portrait of a boy wearing a yellow and blue Puma cap , a blue tee-shirt and a red jacket ( open ) . portrait of a boy wearing a yellow and blue Puma cap , a blue tee-shirt and a red jacket ( open ) . exterior shot . portrait of a boy wearing a yellow and blue Puma cap , a blue tee-shirt and a red jacket ( open ) . houses and trees in distance .",Are the red thing and yellow thing touching?,YN,Yes,"Yes, No",1,TRUE,Yes,No,Yes
images/01/1029.jpg,"a man in white shirt , black jacket , grey pants and black shoes is sitting on a wooden chair and talking on the phone . on the right a wooden bed with white bedcovers . on the left ( before the man ) a wooden desk and a vase with flowers . there is a black brief-case in front of the chair , and there is also a picture hanging on the wall above the bed .",Is the man touching the chair?,YN,Yes,"Yes, No",1,TRUE,Yes,Yes,Yes
annotations/00/819.eng,"a dark-skinned , dark-haired girl wearing a USA pullover and red pants is standing outside a wall made of boulders in the near background USA jumper says Future USA at the front , with the Olympic rings below the letters , one sleeve shows the stars , the other one the stripes",Is the red thing near the pullover?,YN,Yes,"Yes, No",1,TRUE,Yes,Yes,Yes
images/00/948.jpg,"a dark-haired , dark-skinned boy in a dark green pullover ( with a white bear on it ) in a backyard . a dark-haired , dark-skinned boy in a dark green pullover ( with a white bear on it ) in a backyard. Some garbage lying around in the background .",Is the boy behind the garbage?,YN,No,"Yes, No",,TRUE,No,No,No
annotations/00/794.eng,"a dark-skinned , dark-haired girl wearing a yellow blouse with a blue collar handprints on the wall behind her",Is the blue thing in front of the handprints?,YN,Yes,"Yes, No",,FALSE,No,No,No
annotations/00/842.eng,"a dark-skinned , dark-haired boy in a dark blue tee-shirt is sitting at a desk in a classroom a girl is eating in the background , another one wearing an orange pullover is walking along the corridor between the desks",Is the blue thing behind the girl eating?,YN,No,"Yes, No",2,FALSE,No,No,No
annotations/01/1337.eng,a room with a king-sized bed and a night table and a bedside lamp on both sides of the bed behind it a wall made of red bricks,Is a lamp to the right of the bed?,YN,Yes,"Yes, No",2,FALSE,No,No,Yes
annotations/01/1233.eng,"room with grey walls , two single beds with yellow and blue chequered bedcovers and a night table with a bedside lamp in between there is also a wooden door in the background on the right",Is the table to the right of the wooden thing?,YN,No,"Yes, No",2,FALSE,Yes,Yes,No
annotations/00/678.eng,"A school kid is sitting at a desk , smiling into the camera and being offered a red apple . three other kids in the background .",Is the red thing in front of the kid?,YN,Yes,"Yes, No",,TRUE,Yes,Yes,Yes
images/00/683.jpg,"Three women are sitting on a wooden bench in front of an about one metre high , red brick wall . they are all wearing skirts and jumpers with gilets . two of them are wearing a hat too. one man is standing behind the wall. a wooden door on the left is being held open by a red brick .",Are the women behind the red thing?,YN,No,"Yes, No",1,,Yes,No,No
images/00/684.jpg,"photo of a classroom with some kids sitting at their desks , others standing at their desks , waving into the camera , laughing. two kids are eating their lunch in the foreground . there is a wooden wall with pictures of two comic figures in the background .",Is the wall in front of the pictures?,YN,No,"Yes, No",,TRUE,No,No,No
annotations/01/1224.eng,"a room with a grey wall and two single beds with multicoloured bedcovers , a night table with a phone in between and two lamps above it there are white curtains in front of a window in the background on the right",Is the lamps under the bedcovers?,YN,No,"Yes, No",,FALSE,No,No,No
annotations/01/1225.eng,"front view of a grey and white building , with a few men in front of the entrance",Is the men behind the white thing?,YN,No,"Yes, No",,FALSE,No,No,No
images/01/1108.jpg,Corner view of a large building . front is mainly made of glass .,Is the front behind the glass?,YN,No,"Yes, No",,,No,No,No
annotations/00/803.eng,"a dark-skinned , dark-haired boy in a white shirt and a green tee-shirt , putting his index finger of his left hand in his mouth other school kids are sitting on their tables in front of a blackboard in the background",Is the boy have the green thing?,YN,No,"Yes, No",,TRUE,Yes,Yes,Yes
annotations/01/1228.eng,"a swimming pool with canvas chairs , chairs , tables and sunshades behind it palm trees and bushed in the background",Is the pool in front of the tables?,YN,Yes,"Yes, No",,FALSE,Yes,Yes,Yes
images/01/1000.jpg,"a dark-skinned boy wearing a knitted woolly hat and a light and dark grey striped jumper with a grey zip , leaning on a grey wall .",Is the wall above the gray thing?,YN,No,"Yes, No",1,,Yes,No,No
annotations/01/1387.eng,"a room with two double beds and a night table with a lamp and a phone in between , a painting above it on the white wall , a light blue ornamental strip and a dark green on the left",Is the phone to the right of the light blue thing?,YN,Yes,"Yes, No",2,FALSE,No,No,No
images/01/1030.jpg,a blue bus is parking in front of the entrance of the Hotel Galeria . a blue bus is parking in front of the entrance of the Hotel Galeria. There are stairs at the entrance . a blue bus is parking in front of the entrance of the Hotel Galeria. There are stairs at the entrance. there are flags and a lamp at each side of the entrance .,Is the blue thing in front of the stairs?,YN,Yes,"Yes, No",,TRUE,Yes,Yes,Yes
images/01/1326.jpg,"A room with grey walls , two single beds made of wood with grey and brown chequered bedcovers and pillows . A room with grey walls , two single beds made of wood with grey and brown chequered bedcovers and pillows. Night table with a bedside lamp between the two beds . A room with grey walls , two single beds made of wood with grey and brown chequered bedcovers and pillows. Night table with a bedside lamp between the two beds. Window with grey curtains in the background .",Is the window below the curtains?,YN,No,"Yes, No",1,,Yes,No,No
annotations/01/1377.eng,"front view of a light green house with a grey garage on the right , a white car in front of it and a round front with orange ornamental strips",Is the grey thing behind the white thing?,YN,Yes,"Yes, No",2,FALSE,Yes,Yes,Yes
images/00/679.jpg,"Four tourists are sitting on a bus. Four tourists are sitting on a bus. Two women in the front row with their heads turned around. another one in the second row looking out the window. and one man with sunglasses in the very last row , looking out the window too.",Are the tourists behind of the bus?,YN,No,"Yes, No",1,FALSE,No,No,No
annotations/00/810.eng,"a dark-skinned , dark-haired boy in a blue pullover is sitting on a green bench colourful handprints on the wall behind him",Is the blue thing behind the handprints?,YN,No,"Yes, No",2,FALSE,Yes,Yes,Yes
