Story,Question,Q_type,Candidate_Answers,Answer,Reasoning_type,ollama/gemma:2b,ollama/phi3:mini,ollama/qwen:4b,ollama/openchat,ollama/mistral,ollama/llama3,llama70B
"There is a block called A. It has a small yellow square, a smal black triangle and a small black circle. A medium blue square is above and to the right of the smal black triangle and circle. The small yellow square is above the medium square. The small black circle is above a big blue circle and to the right of the small black triangle. Block A is below another block called B.block B has two big yellow triangle and a big black circle that is touching the top edge of this block. One of the triangles is touching the bottom edge of block B.",What is the relation between the medium square and the big blue circle?,FR,"left, right, above, below, near to, far from, touching, DK",above,,"The answer is ""touching"".

The medium square is touching the top edge of the big blue circle.",Below,above,"above, right",Right (or Near to),above,above
"There are three blocks A, B, and C. Block A is below blocks B and C. It has three circles. The fist circle is big and yellow which is touching the bottom edge of this block. Another is medium and blue which is to the right of the big yellow circle and below and to the right of the medium yellow circle. Block B has a medium yellow circle and a medium black square which are touhing the right edge of this block. there is amedium blue circle to the left of the yellow and black objects in this block. Block C is to the right of the block B. It has a big yellow square that is touching the right edge of the block. It is above a big blue triangle. To the right of the big blue triangle there is a small black circle.",Which block has a big yellow object to the right of a medium yellow circle?,FB,"A, B, C",B,,"The answer is A.

The big yellow object is touching the bottom edge of block A, which is below blocks B and C.",Block C,B,B,A,Block B,A
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black triangle. In B, there is a small blue circle that is far below a medium yellow square. In C, there is a small yellow square near and above a small black triangle. The black triangle is near and to the right of a large black square. There is a medium blue triangle below the large black square.",What object is above the medium blue thing? the small blue circle  or  the large black square?,CO," the small blue circle ,  the large black square, both of them, none of them", the large black square,['Converse'],"The answer is the large black square.

The context describes the positions of the objects in relation to each other, and the large black square is above the medium blue thing.",None of them,the large black square,the large black square,the large black square,the large black square,the small blue circle
"There is a block called A. In A, there is a medium blue square that is to the left of a small blue triangle. There is also a large blue triangle far above the small blue triangle. There is another block called B, Which is to the right of A. In B, there is a large yellow circle. There is another block called C, Which is to the right of B. In B, there is a medium yellow circle far below a small black square. There is also a large yellow square near and above the small black square . There is a medium yellow square that is far to the right of the medium yellow circle, and there is a small yellow square above the medium yellow square.",Is the large yellow thing in C below the medium yellow circle?,YN,"Yes, No, DK",No,"['Transitivity', ' Converse']","No, the answer is No.

The context describes the positions of the blocks and the shapes relative to each other. The large yellow thing is not below the medium yellow circle.",No,Yes.,No,Yes,No,No
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a small black circle. There is a medium yellow square far below the small black circle. There is a large black triangle far to the right of the small black circle and is touching the right edge of A. In B, there is a large blue circle that is near and below a small black triangle. The small black triangle is far below a large yellow square. The large yellow square is near and below a small blue triangle. In C, there is a large yellow square touching the bottom edge of C. There is a medium blue circle near and above the large yellow square. Near and above the medium blue circle is a large black circle. Far to the left of the large black circle is a small black circle. Near and to the left of the small black circle is a large black triangle.",Is the small black thing in A to the right of the small black thing in C?,YN,"Yes, No, DK",No,"['Lists/Sets', ' Transitivity']","No, the answer is No.

The context does not provide any information about the relative positions of the small black things in A, B, and C. Therefore, we cannot determine whether the small black thing in A is to the right of the small black thing in C.",No,DK,No,No,No,No
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small black triangle near and ot the left of a large blue circle. The large blue circle is near and to the left of a small blue circle. The small blue square is far below a medium yellow square. In B, there is a small yellow circle. In C, there is a medium black triangle that is near and to the left of a small yellow circle. The small yellow circle is near and to the left of a blue triangle. There is a large yellow square touching the bottom of the small yellow circle. Near and below the large yellow square is a large black square.",What block has all medium squares inside of it?,FB,"A, B, C",A,['Quantifier'],"The answer is B.

The large blue circle is near and to the left of a small yellow circle, which is near and to the left of a medium black triangle. So, B has all medium squares inside of it.",No answer provided (DK),C,C,C,B,DK
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",where is the object in block A regarding to the yellow triangle Which is to the right of a black shape?,FR,"left, right, above, below, near to, far from, touching, DK",left,['transitivity'],"The object in block A regarding to the yellow triangle Which is to the right of a black shape is ""right"".",Below,left,left,far from,far from,left
"There is a block called A which has a medium yellow triangle. To the right of the block A, there is a block called B. It has three circles and a small black triangle. Two of the circles are medium blue which one of them touching the top edge of the block and the other is touching the bottom and left edge of the block B. Anothe circle is big and black which the small black triangle is below and tp the left of it. There is another block C which is to the left of the block A. it has a small black square that is touching the bottom edge of the block and a medium blue circle.",Is the circle in block C above the square?,YN,"Yes, No, DK",Yes,,"No, the circle in block C is not above the square.",No,Yes.,No,No,Yes,No
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large black circle far below a medium blue triangle. The medium blue triangle is near and below a large blue square. The large blue square is near and to the right of a medium black square. There is a small yellow circle far to the right of the large blue square. In B, there is a medium yellow square near and below a large yellow triangle. The large yellow triangle is near and below a large blue triangle. The large blue triangle is near and to the right of a medium blue triangle. In C, there is a large blue triangle?",Is the medium black thing in A to the right of the small yellow thing?,YN,"Yes, No, DK",No,"['Transitivity', ' Converse']","Yes, the medium black thing is to the right of the small yellow thing.",No,DK,No,Yes,No,Yes
"There are three blocks named A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small blue square Which is touching the right edge of A. A large blue square is to the left of the small square and is touching the bottom of A. In B, there is a small black triangle that is above and to the right of a black square. The black square is touching the bottom of B. In C, there is a small yellow square that is touching the right of C. There is also large yellow square that is below a blue triangle and above a small blue circle. To the left of the blue triangle there is a black circle.",What block does not have any black objects inside?,FB,"A, B, C",A,"['Negation', ' Quantifier']","The correct answer is C.

The context describes the positions of the blocks and the presence of black objects, but it does not specify which block does not have any black objects inside.",B,C,B,A,C,A
