q_id,q_type,q_query,story,question,answer,choices,reasoning_steps,num_facts,asked_relation,target_relation,model_answer
4,FR,0x2 1,"Two blocks, called HHH and LLL exist in the image. Block LLL covers block HHH. A medium red hexagon is inside and touching block HHH. Block HHH have two medium grey hexagons. Medium grey hexagon number two touches medium grey hexagon number one. Block LLL covers a medium purple hexagon and has a medium grey hexagon. Another medium purple hexagon touch medium purple hexagon number one and the medium grey hexagon. Medium purple hexagon number two is inside block LLL. Over this object is the medium grey hexagon.",Where is medium grey hexagon number one relative to LLL?,NTPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,2,ntpp,ntpp,po
2,YN,0x0 0,There is one block called AAA. This block contain two medium blue squares and a black square. The black shape is over a medium yellow thing. This shape is below and touches medium blue square number two. Block AAA covers the yellow object. Medium blue square number two and the yellow object are below medium blue square number one. Below medium blue square number two there is the yellow thing.,Does any shape overlap a block?,No,Yes No,1,1,po,tpp,Yes
0,YN,1 0x0,A box called one covers a medium green apple. This box is in another box named two. Box two contains a medium green apple which is north of another medium green apple. Box two covers medium green apple number two.,Do all boxes have all fruits?,No,Yes No,2,2,ntppi,ntppi,No
6,FR,0x2 1x2,"Two blocks, named AAA and BBB exist. Block AAA covers a medium black circle and contains a small black square. A small black triangle and a medium blue square are within this block. Above and in front of block BBB there is block AAA. Disconnected from this block is block BBB with a small blue square. A medium black square is in and a big yellow square is inside and touching this block.",What is the position of the small black square relative to the big yellow square?,ABOVE FRONT DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,5,3,dc,dc,above
1,YN,0x0 1x3,"We have two blocks, called HHH and LLL. Disconnected from and on the left side of block LLL is block HHH with a medium purple hexagon. Above this block there is block LLL. Block HHH covers another medium purple hexagon. Block LLL contains a medium grey hexagon. A medium red hexagon is below another medium grey hexagon. The medium red hexagon is covered by block LLL. Medium grey hexagon number two is inside block LLL. Medium grey hexagon number one is above this object.",Are all medium purple hexagons under all shapes?,No,Yes No,4,3,below,below,No
3,YN,0 0x1,One block named AAA exists in the image. This block contains a medium black square. Another medium black square is covered by and a medium blue square is inside this block. Medium black square number two touches the blue object. Above and touches the blue object there is medium black square number one. Over medium black square number two is the medium blue square.,Does any block contain the medium blue square?,Yes,Yes No,1,1,ntppi,ntppi,Yes
4,FR,0 1,"We have two blocks, named AAA and BBB. In front of block AAA is block BBB. Block AAA covers a medium black square. To the north of another medium black square is a medium yellow square. The medium yellow square is inside block AAA. Medium black square number two is in block AAA. North of medium yellow square number one there is another medium yellow square. Medium yellow square number two is in block AAA. Medium black square number two touches medium yellow square number one. To the south of the shape which was north of medium yellow square number one there is medium black square number one. A medium black square is covered by and a medium blue square is inside block BBB. The medium black square touches the blue object.",Where is AAA relative to BBB?,BEHIND,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,front,behind,behind
4,FR,0x3 0x1,"Two blocks, called HHH and LLL exist in the image. A large red pentagon and a little red hexagon are in block HHH. Another little red hexagon is covered by block HHH. The large red pentagon is below little red hexagon number one. Below and to the right-hand side of little red hexagon number two there is this thing. Block HHH contains a large purple star. Under and to the right of the large red pentagon there is the large purple star. A little red hexagon and a large purple star are inside block LLL. Block LLL has a medium grey shape and covers a large purple hexagon. The large purple star are below the medium grey shape and the large purple hexagon.",Where is little red hexagon number two regarding the large purple star in HHH?,LEFT ABOVE,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,2,right,above,above
4,FR,0 1x1,"Two blocks, called AAA and BBB exist. A medium yellow square is inside block AAA. Over another medium yellow square there is this shape. Block AAA covers medium yellow square number two. Block BBB with a medium black square is under this block. In front of this block is block AAA. Two medium blue squares are in block BBB. Another medium black square is inside and touching block BBB. Medium black square number one is above medium blue square number one and is below medium blue square number two. Above medium black square number two is medium blue square number two.",Where is AAA regarding medium blue square number one?,ABOVE FRONT,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,2,above,above,above
1,YN,0x2 0x1,One box called one exists. This box have a big orange melon and two small green apples. Small green apple number one is to the right of a big green watermelon and is below the big orange melon. The big green watermelon is in box one. Box one covers a medium green watermelon. The medium green watermelon is to the right-hand side of and small green apple number two is to the left of small green apple number one. The big green watermelon is near to small green apple number two and is under the big orange melon. To the right of the fruit which was to the left of small green apple number one there is the big orange melon. On the left side of and near to the thing that was to the right-hand side of small green apple number one there is this fruit.,Are all medium green watermelons on the right side of small green apple number two?,Yes,Yes No,2,2,right,right,No
0,YN,2 2x3,"There are three boxes, named DDD, EEE and JJJ. Box DDD covers a large white rectangle. Box EEE has a midsize white dimond which is in front of a large white dimond. The large white dimond is inside box EEE. A midsize green oval is inside and touching and a tiny orange rectangle is in box EEE. The midsize green oval is to the south of and in front of the tiny orange rectangle. Box JJJ contains a midsize orange oval which is behind a tiny green rectangle. Box JJJ contains the tiny green rectangle. A large orange rectangle is inside and touching this box. This box contains a tiny white oval.",Do all boxes cover any large orange rectangle?,No,Yes No,1,1,tppi,tppi,No
2,YN,0x1 0x2,One box called one exists. This box have a medium green fruit and a medium yellow apple. A medium orange fruit is inside and touching this box. This fruit is under the yellow thing. Over and touches the yellow thing is the green fruit. The yellow fruit touches the orange fruit.,Does the yellow thing contain any medium green fruit?,No,Yes No,1,1,ntppi,ec,No
1,FR,1x5 1x0,"There exist two blocks, called HHH and LLL. Block LLL covers a large grey hexagon and has a little purple pentagon. South of the little purple pentagon is the large grey hexagon. A little grey pentagon is to the north of and a medium purple hexagon is west of a large purple hexagon. To the south of and close to the large purple hexagon there is the little purple pentagon. The large purple hexagon is covered by block LLL. The little grey pentagon is inside block LLL. The medium purple hexagon is covered by block LLL. A medium purple star is within block LLL. The large purple hexagon is north of and the medium purple hexagon is to the south of the large grey hexagon. To the west of the thing which was to the north of the large purple hexagon there is the medium purple star.",Where is the large grey hexagon regarding the little grey pentagon?,BELOW,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,3,below,below,below
2,YN,0x2 0x1,"Two blocks, called HHH and LLL exist in the image. Block LLL covers block HHH. A medium red hexagon is inside and touching block HHH. Block HHH have two medium grey hexagons. Medium grey hexagon number two touches medium grey hexagon number one. Block LLL covers a medium purple hexagon and has a medium grey hexagon. Another medium purple hexagon touch medium purple hexagon number one and the medium grey hexagon. Medium purple hexagon number two is inside block LLL. Over this object is the medium grey hexagon.",Does a medium grey shape cover any medium grey hexagon?,No,Yes No,1,1,tppi,ec,Yes
2,YN,0x1 0x0,One block named AAA exists. This block covers a medium yellow square and contains another medium yellow square. Over medium yellow square number one there is medium yellow square number two. A medium blue square is within block AAA. This thing is over and medium yellow square number one touches medium yellow square number two.,Does medium yellow square number two touch a medium yellow square?,Yes,Yes No,1,1,ec,ec,Yes
7,FR,0x5 1x0,"There exist two blocks, called AAA and BBB. Block AAA covers a medium yellow circle. A big yellow circle is in and a small black square is inside and touching this block. In front of block AAA there is block BBB with a small blue triangle, a big yellow square and a small black circle. North of and farther from this block is block AAA. A small blue circle is within block BBB.",Where is the medium yellow circle regarding the small black circle?,ABOVE BEHIND FAR,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,4,3,behind,behind,near
2,YN,0 0x0,One box called one exists. This box contain two medium orange apples. A medium green apple is under and medium orange apple number two is above medium orange apple number one. The green thing is inside and touching box one. Medium orange apple number one touches this thing.,Does a box cover all fruits?,No,Yes No,1,1,tppi,tppi,No
4,FR,0x1 2,"We have three blocks, called HHH, LLL and KKK. A medium grey hexagon is inside and touching block HHH. Block HHH contains a medium red hexagon. To the south of, disconnected from and farther from block KKK there is this block. To the east of this block is block KKK with a medium grey hexagon and a medium red hexagon. The medium grey hexagon touches another medium red hexagon. Medium red hexagon number two is in block KKK. To the south of medium red hexagon number one is another medium grey hexagon. Medium grey hexagon number two is covered by block KKK.",Where is the medium red hexagon in HHH regarding block KKK?,LEFT BELOW FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,2,left,left,north
3,YN,1 0,A box named DDD has a midsize white rectangle. A midsize orange rectangle touches a midsize green rectangle. The midsize orange rectangle is inside and touching box DDD. The midsize green rectangle is in box DDD. This shape touches another midsize orange rectangle and is under the midsize white rectangle. Midsize orange rectangle number two is in box DDD. Below the midsize white rectangle is this object. Box DDD has another box named EEE. A midsize green rectangle is covered by box EEE. This object touches another midsize green rectangle. Box EEE contains midsize green rectangle number two.,Are all boxes inside all boxes?,No,Yes No,1,1,ntpp,ntpp,No
