q_id,q_type,q_query,story,question,answer,choices,reasoning_steps,num_facts,asked_relation,target_relation,model_answer
6,FR,0x5 0x1,"There are two boxes, called DDD and EEE. Box DDD contains box EEE. This box cover a tiny green dimond, a midsize orange oval and a large orange oval. A tiny green oval and a tiny white dimond are to the right-hand side of the tiny green dimond. The tiny green oval, the tiny white dimond and a large white dimond are in box DDD. The midsize object is below the tiny green oval. To the left of the large white dimond there is the tiny green dimond. The large orange oval touches the tiny green oval. Above the tiny white dimond there is the large white dimond. A tiny white dimond is within box EEE. Box EEE contain a tiny green rectangle and a tiny white rectangle. To the left of the tiny green rectangle is the tiny white dimond. The tiny white rectangle is to the left-hand side of this object.",Where is the tiny green dimond regarding the tiny green oval?,LEFT,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,above,left,right
1,YN,1x1 1,"We have three boxes, called DDD, EEE and JJJ. A midsize green rectangle is inside and touching and another midsize green rectangle is inside box DDD. Midsize green rectangle number one touches midsize green rectangle number two. Box EEE with a midsize white rectangle has box DDD. A midsize white rectangle is covered by box JJJ.",Is a midsize white rectangle within EEE?,Yes,Yes No,1,1,ntpp,ntpp,Yes
0,YN,0x3 2x2,A block named HHH have two medium purple hexagons. South of and touches medium purple hexagon number one is medium purple hexagon number two. There exists a block named LLL. Disconnected from and to the west of block HHH there is another block called KKK with a medium purple hexagon. To the south of this block there is block HHH. A medium grey hexagon is within block KKK. South of this thing there is the medium purple hexagon.,Are all medium shapes to the east of a medium purple hexagon?,No,Yes No,4,3,right,right,No
5,FR,1 1x0,"Three boxes, called one, two and three exist in the image. Box one contain a medium green melon and a big green watermelon. A medium orange watermelon and a medium yellow watermelon are inside and touching this box. The medium orange watermelon is near to the medium green melon and is north of the medium yellow watermelon. The big green watermelon is to the south of this fruit. A medium orange apple is inside and touching box two. East of a big yellow melon is this fruit. Box two covers the big yellow melon. Box three contain a small orange watermelon and a small green apple. The small orange watermelon and a big yellow apple are to the east of the small green apple. A medium green watermelon is inside box three. Box three covers the big yellow apple.",Where is box two regarding the medium orange apple?,TPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,tppi,tppi,above
5,FR,2x0 0x1,"Two medium purple hexagons are in a block named HHH. A medium grey hexagon is covered by block HHH. South of medium purple hexagon number two there is medium purple hexagon number one. There exists a block named LLL. Block LLL covers a medium grey hexagon. South of, disconnected from and far from block HHH is another block called KKK. Inside this block is block LLL. Block KKK covers a medium red shape.",What is the position of the medium red shape regarding medium purple hexagon number one?,BELOW FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,4,3,dc,dc,"far, below"
5,FR,2x0 2x1,"We have three boxes, named one, two and three. Box two contain a medium green apple and a medium orange apple. To the south of the medium orange apple there is the medium green apple. Box two covers another medium green apple. Another medium green apple is within this box. The medium orange apple touches medium green apple number three and is north of medium green apple number two. Box three covers a medium orange apple and has a medium yellow apple. The medium yellow apple touches the medium orange apple.",What is the position of the medium orange apple covered by box three relative to the medium yellow apple?,EC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ec,ec,near
1,YN,1x0 1x3,"We have two blocks, named HHH and LLL. In block HHH there is block LLL. This block cover a large grey pentagon and a large grey star. A medium purple pentagon is close to the star and is to the east of the large grey pentagon. North of a medium grey hexagon there is this thing. The medium purple pentagon is within block LLL. Block LLL has the medium grey hexagon. The medium grey hexagon is north of and the star is to the east of the large grey pentagon. To the east of the object that was to the north of the large grey pentagon there is the large grey star.",Are all shapes near to the medium purple pentagon?,No,Yes No,1,1,near,near,No
0,YN,0x0 1x0,"There exist three boxes, called one, two and three. Box one is east of and box two is disconnected from box three. East of box two is box three. A medium green apple is inside and touching box one. Box two covers a medium yellow apple and has another medium yellow apple. A medium orange apple is inside this box. Box three has a medium yellow apple and covers a medium green apple.",Are all medium green apples east of any medium yellow apple?,Yes,Yes No,3,4,right,right,No
0,YN,2 0x1,A box named one contains a medium orange apple. Another medium orange apple and a medium yellow apple are within this box. Medium orange apple number one are below medium orange apple number two and the medium yellow apple. Another medium yellow apple is inside and touching box one. A box called two exists. Box two covers a medium yellow apple which is below a medium green apple. The medium green apple is in box two. Another box called three with two medium green apples has box one. Box two covers this box. Box three covers another medium green apple which is below medium green apple number two. Under medium green apple number one there is medium green apple number two.,Does box three contain a thing?,Yes,Yes No,1,2,ntppi,ntppi,Yes
2,YN,1 0x1,"We have two blocks, called AAA and BBB. Behind, south of and away from block AAA there is block BBB. A small yellow triangle is inside and touching block AAA. Block AAA cover a medium blue circle and a medium blue square. This block has a medium black square. Block BBB has a small blue triangle. A medium blue circle is within this block.",Is any block away from all shapes?,No,Yes No,1,2,far,far,No
4,FR,1 0x0,A block called HHH contains a medium purple hexagon and covers another medium purple hexagon. Medium purple hexagon number one touches medium purple hexagon number two. Another block called LLL has block HHH. A medium grey hexagon is inside and touching this block.,What is the position of block LLL regarding medium purple hexagon number two?,NTPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,ntppi,ntppi,ntpp
1,YN,0x0 1x1,A large red hexagon and a large red pentagon are in a block named HHH. Block HHH contains a large grey hexagon and covers a large purple hexagon. To the north of the large grey hexagon is the large red pentagon. The large grey hexagon is to the north of the large purple hexagon. Disconnected from and away from block HHH is another block called LLL. To the north of this block there is block HHH. A purple star is inside and touching and a large grey hexagon is within block LLL.,Are all large grey hexagons away from all large objects?,No,Yes No,5,3,far,far,No
4,FR,2x2 2,A box named one contains a medium orange apple. Another medium orange apple and a medium yellow apple are within this box. Medium orange apple number one are below medium orange apple number two and the medium yellow apple. Another medium yellow apple is inside and touching box one. A box called two exists. Box two covers a medium yellow apple which is below a medium green apple. The medium green apple is in box two. Another box called three with two medium green apples has box one. Box two covers this box. Box three covers another medium green apple which is below medium green apple number two. Under medium green apple number one there is medium green apple number two.,Where is medium green apple number one regarding box three?,NTPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,po,ntpp,above
3,YN,0 1,"There exist two blocks, called HHH and LLL. Block HHH covers a medium grey hexagon. A medium purple hexagon and two medium red hexagons are inside this block. To the south of medium red hexagon number one is the medium purple hexagon. The medium grey hexagon is south of this shape. Medium red hexagon number two are north of medium red hexagon number one and the medium grey hexagon. Medium red hexagon number one touches the medium purple hexagon. In block HHH there is block LLL with a medium purple hexagon. A medium grey hexagon is within this block. Block LLL covers a medium red hexagon. To the south of the medium grey hexagon is the medium purple hexagon. To the north of the medium red hexagon is the medium grey hexagon.",Does a block contain all blocks?,No,Yes No,1,1,ntppi,ntppi,No
1,YN,0 1x3,A medium yellow square is covered by a block called AAA. Disconnected from another block called BBB is block AAA. Block BBB with a medium blue square and a medium yellow square is away from this block. This block covers another medium yellow square. Medium yellow square number one is to the south of another medium blue square. Medium blue square number two is within block BBB. South of the shape which was to the south of medium blue square number two there is medium blue square number one.,Is AAA disconnected from a thing?,Yes,Yes No,2,2,dc,dc,Yes
2,YN,1x0 0,"A midsize white thing is inside and touching a box named DDD. Box DDD is to the north of, disconnected from and in front of another box named EEE. Far from this box is box EEE. This box covers a midsize orange rectangle.",Does any midsize orange rectangle touch box DDD?,No,Yes No,3,2,ec,behind,No
1,YN,1x0 1,"There are three boxes, called DDD, EEE and JJJ. Box DDD covers a midsize white rectangle. Another midsize white rectangle is within this box. This thing is north of midsize white rectangle number one. Midsize white rectangle number one touches this object. Two midsize green rectangles are within box EEE. To the north of a midsize white rectangle there is midsize green rectangle number two. Box EEE covers the midsize white rectangle. The midsize white rectangle touches midsize green rectangle number two. Midsize green rectangle number one touches midsize green rectangle number two. Box JJJ contains box EEE.",Do all midsize white objects cover any box?,No,Yes No,1,1,tppi,tpp,No
3,FR,0x5 1,"Three blocks, named AAA, BBB and CCC exist in the image. Block AAA have a medium black triangle and a big yellow circle. This block covers a medium yellow circle which is to the south of the big yellow circle. Behind another big yellow circle there is a small blue square. The small blue square is inside block AAA. Big yellow circle number two is inside block AAA. The small blue square is north of the medium black triangle. Away from and in front of block BBB is block AAA. Block BBB has block CCC. A small blue triangle is in block CCC.",Where is the medium black triangle relative to block BBB?,FRONT FAR,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,2,front,front,front
4,FR,1x0 0,"There is a block named HHH. There is a block called LLL. Block LLL has a little red pentagon which is to the north of and east of a little purple star.This thing is to the south of and east of another little red pentagon. Block LLL has the little purple star. This block contains little red pentagon number two. This block is to the south of, to the west of and close to another block called KKK. West of block HHH is block KKK with a medium hexagon.",What is the position of the little purple star regarding HHH?,LEFT,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,3,left,left,"above, left"
2,YN,1x0 1x2,"Two boxes, named DDD and EEE exist. Box DDD contains a tiny green oval and covers a midsize orange dimond. The tiny green oval are west of a tiny white dimond and the midsize orange dimond. The tiny white dimond and a large white oval are within box DDD. The tiny white dimond is to the east of the large white oval. Box EEE with a tiny white dimond and a tiny green rectangle is within box DDD. A tiny orange oval is near to and a large white rectangle is to the east of the tiny green rectangle. The tiny orange oval is inside box EEE. Box EEE covers the large white rectangle. Near to the tiny white dimond there is a midsize orange oval. The midsize orange oval is inside box EEE. The tiny white dimond is to the west of the shape which was east of the tiny green rectangle.",Are all tiny white dimonds close to all objects?,No,Yes No,1,1,near,near,No
6,FR,1 0x6,"Three boxes, called one, two and three exist in the image. Box one contain a big yellow melon and a small orange watermelon. Box two has a small yellow apple. A small orange apple is inside and touching this box. Box one is in box three. Box two is south of, farther from and west of box three. A small yellow watermelon is inside box three.",Where is box two relative to the small orange watermelon?,LEFT BELOW FAR,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,3,far,far,"far, south, west"
7,FR,2x1 0x0,"There are three boxes, called DDD, EEE and JJJ. A midsize green dimond and a large green rectangle are inside box DDD. Over the midsize green dimond there is a large green dimond. The large green dimond is covered by box DDD. The midsize green dimond is over the large green rectangle. Below and farther from box DDD there is box JJJ. A tiny green oval, a tiny white thing and a tiny orange rectangle are inside this box.",Where is the tiny orange rectangle regarding the midsize green dimond?,BELOW FAR,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,3,far,far,"below, far"
7,FR,0x0 1x3,A box called DDD has a midsize green rectangle. A large white rectangle is covered by this box. Under the midsize green rectangle is this object. Box DDD is below and disconnected from another box called EEE. Behind this box is box EEE. A midsize green rectangle is within and a large orange rectangle is inside and touching this box.,Where is the midsize green rectangle in DDD relative to the large orange rectangle?,BELOW FRONT DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,5,3,front,front,behind
6,FR,1 0x1,"We have two blocks, called AAA and BBB. Behind, south of and away from block AAA there is block BBB. A small yellow triangle is inside and touching block AAA. Block AAA cover a medium blue circle and a medium blue square. This block has a medium black square. Block BBB has a small blue triangle. A medium blue circle is within this block.",What is the position of BBB relative to the medium blue square?,BELOW BEHIND FAR,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,far,far,behind
2,YN,1x1 1x4,"Three blocks, named AAA, BBB and CCC exist. Block BBB covers a big blue triangle and has a medium yellow square. The big blue triangle are below the medium yellow square and a medium black square.Over a big black triangle is this thing. The big black triangle is inside and touching block BBB. The medium black square is within block BBB. This object is over and the big black triangle is in front of the medium yellow square. Block CCC contain a medium black circle and a small yellow triangle. A small black triangle and a small black circle are within this block. The small black triangle and the small yellow triangle are in front of the small black circle. Block CCC covers a big black circle. The medium black circle is in front of the small black triangle and is behind the big black circle. In front of the small yellow triangle is the big black circle. The small yellow triangle is behind the thing which was in front of the small black triangle.",Is the medium yellow square behind all triangles?,No,Yes No,1,1,behind,behind,No
4,FR,1x0 0,"There exist three blocks, named HHH, LLL and KKK. Block LLL is away from block KKK and is in block HHH. Block KKK is under, disconnected from and to the right-hand side of this block. A medium purple hexagon is covered by block LLL. Block LLL contain a medium grey hexagon and a medium red hexagon. A medium grey hexagon is inside block KKK. Block KKK covers another medium grey hexagon.",What is the position of the medium purple hexagon regarding HHH?,NTPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,ntpp,ntpp,po
7,FR,2x1 0x2,"A medium grey star is inside a block named HHH. Block HHH covers a medium purple hexagon. A block called LLL exists. This block is far from another block named KKK. South of, disconnected from and to the west of this block is block KKK with a medium purple star. This block covers a large red hexagon. A little grey hexagon is covered by this block.",Where is the little grey hexagon regarding the medium purple hexagon?,LEFT BELOW FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,3,left,left,po
4,FR,0x0 1,"A large green rectangle is covered by a box called DDD. Behind, disconnected from and away from another box named EEE there is box DDD. Box EEE with a midsize green rectangle is to the south of this box. South of a tiny orange shape there is the midsize object. The orange shape is within box EEE. To the north of a tiny white rectangle there is the midsize thing. The tiny white rectangle is within box EEE.",Where is the large green rectangle regarding box EEE?,ABOVE BEHIND FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,behind,behind,"behind, far, dc"
